ticker,period,quarter,comparison_key,sqlite_source_raw,sqlite_source_normalized,supabase_source_raw,supabase_source_normalized,difference_type
6750,2025-03-31,FY,6750|2025-03-31|FY,,,jquants,jquants,source_mismatch
6750,2022-03-31,3Q,6750|2022-03-31|3Q,,,jquants,jquants,source_mismatch
6750,2025-03-31,1Q,6750|2025-03-31|1Q,,,jquants,jquants,source_mismatch
6750,2024-03-31,3Q,6750|2024-03-31|3Q,,,jquants,jquants,source_mismatch
6750,2026-03-31,3Q,6750|2026-03-31|3Q,,,jquants,jquants,source_mismatch
6750,2023-03-31,3Q,6750|2023-03-31|3Q,,,jquants,jquants,source_mismatch
6750,2022-03-31,1Q,6750|2022-03-31|1Q,,,jquants,jquants,source_mismatch
6750,2025-03-31,2Q,6750|2025-03-31|2Q,,,jquants,jquants,source_mismatch
6750,2024-03-31,1Q,6750|2024-03-31|1Q,,,jquants,jquants,source_mismatch
6750,2022-03-31,FY,6750|2022-03-31|FY,,,jquants,jquants,source_mismatch
6750,2024-03-31,FY,6750|2024-03-31|FY,,,jquants,jquants,source_mismatch
6750,2026-03-31,1Q,6750|2026-03-31|1Q,,,jquants,jquants,source_mismatch
6750,2023-03-31,1Q,6750|2023-03-31|1Q,,,jquants,jquants,source_mismatch
6750,2023-03-31,FY,6750|2023-03-31|FY,,,jquants,jquants,source_mismatch
6750,2021-03-31,FY,6750|2021-03-31|FY,,,jquants,jquants,source_mismatch
6750,2022-03-31,2Q,6750|2022-03-31|2Q,,,jquants,jquants,source_mismatch
6750,2025-03-31,3Q,6750|2025-03-31|3Q,,,jquants,jquants,source_mismatch
6750,2024-03-31,2Q,6750|2024-03-31|2Q,,,jquants,jquants,source_mismatch
6750,2026-03-31,2Q,6750|2026-03-31|2Q,,,jquants,jquants,source_mismatch
6750,2023-03-31,2Q,6750|2023-03-31|2Q,,,jquants,jquants,source_mismatch
