raw_ticker,ticker,period,quarter,sales,gross_profit,operating_profit,source_raw,source_normalized,updated_at,updated_at_raw,comparison_key,reason
7849,7849,2021-03-31,1Q,1337,591,177,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2021-03-31|1Q,exists_in_supabase_only
7849,7849,2021-03-31,2Q,2626,1187,351,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2021-03-31|2Q,exists_in_supabase_only
7849,7849,2021-03-31,3Q,3866,1747,505,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2021-03-31|3Q,exists_in_supabase_only
7849,7849,2021-03-31,FY,5593,2592,815,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2021-03-31|FY,exists_in_supabase_only
7849,7849,2022-03-31,1Q,1407,673,237,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2022-03-31|1Q,exists_in_supabase_only
7849,7849,2022-03-31,2Q,3047,1495,606,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2022-03-31|2Q,exists_in_supabase_only
7849,7849,2022-03-31,3Q,4902,2461,1092,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2022-03-31|3Q,exists_in_supabase_only
7849,7849,2022-03-31,FY,7023,3587,1587,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2022-03-31|FY,exists_in_supabase_only
7849,7849,2024-03-31,1Q,2218,1271,667,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2024-03-31|1Q,exists_in_supabase_only
7849,7849,2024-03-31,2Q,4280,2378,1176,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2024-03-31|2Q,exists_in_supabase_only
7849,7849,2024-03-31,3Q,6301,3424,1659,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2024-03-31|3Q,exists_in_supabase_only
7849,7849,2024-03-31,FY,8581,4744,2338,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2024-03-31|FY,exists_in_supabase_only
7849,7849,2026-12-31,FY,9000,,2000,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7849|2026-12-31|FY,exists_in_supabase_only
7780,7780,2027-03-31,FY,125000,,10200,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7780|2027-03-31|FY,exists_in_supabase_only
7780,7780,2026-03-31,FY,125000,,10200,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7780|2026-03-31|FY,exists_in_supabase_only
7780,7780,2021-03-31,1Q,19768,10430,1985,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7780|2021-03-31|1Q,exists_in_supabase_only
7780,7780,2021-03-31,2Q,41521,22116,4497,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7780|2021-03-31|2Q,exists_in_supabase_only
7780,7780,2021-03-31,3Q,63421,33786,6914,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7780|2021-03-31|3Q,exists_in_supabase_only
7780,7780,2020-03-31,1Q,,,0,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7780|2020-03-31|1Q,exists_in_supabase_only
7780,7780,2020-03-31,2Q,,,0,tdnet,tdnet,2026-03-10 11:00:25.107847+00:00,2026-03-10T11:00:25.107847+00:00,7780|2020-03-31|2Q,exists_in_supabase_only
