ticker,period,quarter,comparison_key,column_name,sqlite_is_null,supabase_is_null,difference_type
8103,2024-03-31,FY,8103|2024-03-31|FY,sales,True,False,sqlite_null
3976,2023-10-31,FY,3976|2023-10-31|FY,sales,True,False,sqlite_null
3296,2021-06-30,FY,3296|2021-06-30|FY,sales,True,False,sqlite_null
3191,2021-06-20,FY,3191|2021-06-20|FY,sales,True,False,sqlite_null
3877,2025-03-31,2Q,3877|2025-03-31|2Q,sales,True,False,sqlite_null
5284,2021-03-31,FY,5284|2021-03-31|FY,sales,True,False,sqlite_null
1976,2025-03-31,2Q,1976|2025-03-31|2Q,sales,True,False,sqlite_null
9325,2022-03-31,FY,9325|2022-03-31|FY,sales,True,False,sqlite_null
7885,2021-03-31,FY,7885|2021-03-31|FY,sales,True,False,sqlite_null
9987,2025-03-31,2Q,9987|2025-03-31|2Q,sales,True,False,sqlite_null
3241,2023-12-31,2Q,3241|2023-12-31|2Q,sales,True,False,sqlite_null
5271,2024-02-29,2Q,5271|2024-02-29|2Q,sales,True,False,sqlite_null
9360,2023-03-31,FY,9360|2023-03-31|FY,sales,True,False,sqlite_null
8848,2026-03-31,2Q,8848|2026-03-31|2Q,sales,True,False,sqlite_null
7384,2023-03-31,2Q,7384|2023-03-31|2Q,sales,True,False,sqlite_null
9722,2024-12-31,2Q,9722|2024-12-31|2Q,sales,True,False,sqlite_null
8253,2024-03-31,2Q,8253|2024-03-31|2Q,sales,True,False,sqlite_null
7044,2022-12-31,FY,7044|2022-12-31|FY,sales,True,False,sqlite_null
5269,2022-03-31,FY,5269|2022-03-31|FY,sales,True,False,sqlite_null
8075,2022-03-31,FY,8075|2022-03-31|FY,sales,True,False,sqlite_null
8253,2023-03-31,2Q,8253|2023-03-31|2Q,sales,True,False,sqlite_null
8077,2021-10-31,FY,8077|2021-10-31|FY,sales,True,False,sqlite_null
1814,2025-03-31,FY,1814|2025-03-31|FY,sales,True,False,sqlite_null
8967,2025-07-31,FY,8967|2025-07-31|FY,sales,True,False,sqlite_null
4422,2022-07-31,FY,4422|2022-07-31|FY,sales,True,False,sqlite_null
3633,2022-12-31,FY,3633|2022-12-31|FY,sales,True,False,sqlite_null
9115,2023-03-31,2Q,9115|2023-03-31|2Q,sales,True,False,sqlite_null
5368,2025-03-31,2Q,5368|2025-03-31|2Q,sales,True,False,sqlite_null
8850,2022-03-31,FY,8850|2022-03-31|FY,sales,True,False,sqlite_null
6894,2024-03-31,FY,6894|2024-03-31|FY,sales,True,False,sqlite_null
3271,2025-06-30,FY,3271|2025-06-30|FY,sales,True,False,sqlite_null
3447,2022-03-31,FY,3447|2022-03-31|FY,sales,True,False,sqlite_null
5161,2021-03-31,FY,5161|2021-03-31|FY,sales,True,False,sqlite_null
9060,2023-03-31,FY,9060|2023-03-31|FY,sales,True,False,sqlite_null
4829,2023-05-31,FY,4829|2023-05-31|FY,sales,True,False,sqlite_null
6144,2021-03-31,FY,6144|2021-03-31|FY,sales,True,False,sqlite_null
7931,2024-03-20,FY,7931|2024-03-20|FY,sales,True,False,sqlite_null
8919,2024-03-31,FY,8919|2024-03-31|FY,sales,True,False,sqlite_null
7282,2025-03-31,FY,7282|2025-03-31|FY,sales,True,False,sqlite_null
8061,2022-03-31,FY,8061|2022-03-31|FY,sales,True,False,sqlite_null
8957,2024-07-31,FY,8957|2024-07-31|FY,sales,True,False,sqlite_null
4679,2021-03-31,FY,4679|2021-03-31|FY,sales,True,False,sqlite_null
9691,2026-03-31,2Q,9691|2026-03-31|2Q,sales,True,False,sqlite_null
6571,2023-06-30,FY,6571|2023-06-30|FY,sales,True,False,sqlite_null
7480,2023-03-31,FY,7480|2023-03-31|FY,sales,True,False,sqlite_null
3762,2025-03-31,2Q,3762|2025-03-31|2Q,sales,True,False,sqlite_null
6503,2025-03-31,FY,6503|2025-03-31|FY,sales,True,False,sqlite_null
7997,2025-11-30,2Q,7997|2025-11-30|2Q,sales,True,False,sqlite_null
4112,2023-03-31,FY,4112|2023-03-31|FY,sales,True,False,sqlite_null
4996,2021-10-31,FY,4996|2021-10-31|FY,sales,True,False,sqlite_null
