ticker,period,quarter,comparison_key,column_name,sqlite_value,supabase_value,difference_type
8181,2026-02-28,2Q,8181|2026-02-28|2Q,sales,2169000000,2169,both_non_null_value_diff
8181,2026-02-28,2Q,8181|2026-02-28|2Q,gross_profit,1289776000,1289,both_non_null_value_diff
8181,2026-02-28,2Q,8181|2026-02-28|2Q,operating_profit,148000000,148,both_non_null_value_diff
9513,2021-03-31,FY,9513|2021-03-31|FY,sales,909144000000,909144,both_non_null_value_diff
9513,2021-03-31,FY,9513|2021-03-31|FY,operating_profit,77775000000,77775,both_non_null_value_diff
8076,2022-03-31,FY,8076|2022-03-31|FY,sales,116521000000,116521,both_non_null_value_diff
8076,2022-03-31,FY,8076|2022-03-31|FY,gross_profit,7294219000,7294,both_non_null_value_diff
8076,2022-03-31,FY,8076|2022-03-31|FY,operating_profit,2482000000,2482,both_non_null_value_diff
4690,2022-03-31,3Q,4690|2022-03-31|3Q,sales,5212000000,5212,both_non_null_value_diff
4690,2022-03-31,3Q,4690|2022-03-31|3Q,gross_profit,1038151000,1038,both_non_null_value_diff
4690,2022-03-31,3Q,4690|2022-03-31|3Q,operating_profit,303000000,303,both_non_null_value_diff
7980,2023-03-31,3Q,7980|2023-03-31|3Q,sales,8996000000,8996,both_non_null_value_diff
7980,2023-03-31,3Q,7980|2023-03-31|3Q,gross_profit,2992124000,2992,both_non_null_value_diff
7980,2023-03-31,3Q,7980|2023-03-31|3Q,operating_profit,701000000,701,both_non_null_value_diff
3192,2025-11-30,FY,3192|2025-11-30|FY,sales,4208000000,4208,both_non_null_value_diff
3192,2025-11-30,FY,3192|2025-11-30|FY,gross_profit,1550980000,1550,both_non_null_value_diff
3192,2025-11-30,FY,3192|2025-11-30|FY,operating_profit,-131000000,-131,both_non_null_value_diff
8077,2024-10-31,FY,8077|2024-10-31|FY,sales,22409000000,22409,both_non_null_value_diff
8077,2024-10-31,FY,8077|2024-10-31|FY,gross_profit,5067963000,5067,both_non_null_value_diff
8077,2024-10-31,FY,8077|2024-10-31|FY,operating_profit,905000000,905,both_non_null_value_diff
6612,2025-12-31,1Q,6612|2025-12-31|1Q,sales,2184000000,2184,both_non_null_value_diff
6612,2025-12-31,1Q,6612|2025-12-31|1Q,gross_profit,671000000,671,both_non_null_value_diff
6612,2025-12-31,1Q,6612|2025-12-31|1Q,operating_profit,-280000000,-280,both_non_null_value_diff
4928,2022-09-30,3Q,4928|2022-09-30|3Q,sales,45892000000,45892,both_non_null_value_diff
4928,2022-09-30,3Q,4928|2022-09-30|3Q,gross_profit,31911000000,31911,both_non_null_value_diff
4928,2022-09-30,3Q,4928|2022-09-30|3Q,operating_profit,7959000000,7959,both_non_null_value_diff
2883,2024-03-31,1Q,2883|2024-03-31|1Q,sales,6964000000,6964,both_non_null_value_diff
2883,2024-03-31,1Q,2883|2024-03-31|1Q,gross_profit,1155522000,1155,both_non_null_value_diff
2883,2024-03-31,1Q,2883|2024-03-31|1Q,operating_profit,316000000,316,both_non_null_value_diff
6568,2023-03-31,3Q,6568|2023-03-31|3Q,sales,4763000000,4763,both_non_null_value_diff
6568,2023-03-31,3Q,6568|2023-03-31|3Q,gross_profit,1719535000,1719,both_non_null_value_diff
6568,2023-03-31,3Q,6568|2023-03-31|3Q,operating_profit,880000000,880,both_non_null_value_diff
4544,2026-03-31,3Q,4544|2026-03-31|3Q,sales,186729000000,186729,both_non_null_value_diff
4544,2026-03-31,3Q,4544|2026-03-31|3Q,gross_profit,54584000000,54584,both_non_null_value_diff
4544,2026-03-31,3Q,4544|2026-03-31|3Q,operating_profit,4177000000,4177,both_non_null_value_diff
2001,2025-03-31,2Q,2001|2025-03-31|2Q,sales,204909000000,204909,both_non_null_value_diff
2001,2025-03-31,2Q,2001|2025-03-31|2Q,gross_profit,49264000000,49264,both_non_null_value_diff
2001,2025-03-31,2Q,2001|2025-03-31|2Q,operating_profit,10524000000,10524,both_non_null_value_diff
2114,2022-03-31,2Q,2114|2022-03-31|2Q,sales,9927000000,9927,both_non_null_value_diff
2114,2022-03-31,2Q,2114|2022-03-31|2Q,gross_profit,2353994000,2353,both_non_null_value_diff
2114,2022-03-31,2Q,2114|2022-03-31|2Q,operating_profit,746000000,746,both_non_null_value_diff
3853,2024-03-31,3Q,3853|2024-03-31|3Q,sales,3115000000,3115,both_non_null_value_diff
3853,2024-03-31,3Q,3853|2024-03-31|3Q,gross_profit,2588430000,2588,both_non_null_value_diff
3853,2024-03-31,3Q,3853|2024-03-31|3Q,operating_profit,-3396000000,-3396,both_non_null_value_diff
4970,2023-03-31,2Q,4970|2023-03-31|2Q,sales,17553000000,17553,both_non_null_value_diff
4970,2023-03-31,2Q,4970|2023-03-31|2Q,gross_profit,4956479000,4956,both_non_null_value_diff
4970,2023-03-31,2Q,4970|2023-03-31|2Q,operating_profit,2852000000,2852,both_non_null_value_diff
6779,2024-03-31,2Q,6779|2024-03-31|2Q,sales,24665000000,24665,both_non_null_value_diff
6779,2024-03-31,2Q,6779|2024-03-31|2Q,operating_profit,1864000000,1864,both_non_null_value_diff
9025,2022-03-31,FY,9025|2022-03-31|FY,sales,301373000000,301373,both_non_null_value_diff
