comparison_key,ticker,period,quarter,duplicate_count,sample_rows_json
1301|2022-03-31|FY,1301,2022-03-31,FY,3,"[{""ticker"": ""13010"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-02-25"", ""fetched_at"": ""2026-03-02 12:46:23""}, {""ticker"": ""13010"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-04-25"", ""fetched_at"": ""2026-03-02 12:46:23""}, {""ticker"": ""13010"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": 253575000000, ""gross_profit"": 28016000000, ""operating_profit"": 6392000000, ""disclosed_date"": ""2022-05-13"", ""fetched_at"": ""2026-03-02 12:46:23""}]"
1301|2023-03-31|FY,1301,2023-03-31,FY,3,"[{""ticker"": ""13010"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-03-27"", ""fetched_at"": ""2026-03-02 12:46:23""}, {""ticker"": ""13010"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2023-03-27"", ""fetched_at"": ""2026-03-02 12:46:23""}, {""ticker"": ""13010"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": 272167000000, ""gross_profit"": 31027000000, ""operating_profit"": 8105000000, ""disclosed_date"": ""2023-05-12"", ""fetched_at"": ""2026-03-02 12:46:23""}]"
1301|2024-03-31|FY,1301,2024-03-31,FY,3,"[{""ticker"": ""13010"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-02-02"", ""fetched_at"": ""2026-03-02 12:46:23""}, {""ticker"": ""13010"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-02-02"", ""fetched_at"": ""2026-03-02 12:46:23""}, {""ticker"": ""13010"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": 261604000000, ""gross_profit"": 33390000000, ""operating_profit"": 8806000000, ""disclosed_date"": ""2024-05-10"", ""fetched_at"": ""2026-03-02 12:46:23""}]"
130A0|2024-12-31|FY,130A0,2024-12-31,FY,2,"[{""ticker"": ""130A0"", ""period"": ""2024-12-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-12-13"", ""fetched_at"": ""2026-03-02 12:46:25""}, {""ticker"": ""130A0"", ""period"": ""2024-12-31"", ""quarter"": ""FY"", ""sales"": 235018000, ""gross_profit"": null, ""operating_profit"": -212000000, ""disclosed_date"": ""2025-02-13"", ""fetched_at"": ""2026-03-02 12:46:25""}]"
130A0|2025-12-31|FY,130A0,2025-12-31,FY,2,"[{""ticker"": ""130A0"", ""period"": ""2025-12-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2025-10-14"", ""fetched_at"": ""2026-03-02 12:46:25""}, {""ticker"": ""130A0"", ""period"": ""2025-12-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": -396000000, ""disclosed_date"": ""2026-02-12"", ""fetched_at"": ""2026-03-02 12:46:25""}]"
1332|2025-03-31|FY,1332,2025-03-31,FY,2,"[{""ticker"": ""13320"", ""period"": ""2025-03-31"", ""quarter"": ""FY"", ""sales"": 886126000000, ""gross_profit"": 139250000000, ""operating_profit"": 31779000000, ""disclosed_date"": ""2025-05-14"", ""fetched_at"": ""2026-03-02 12:46:31""}, {""ticker"": ""13320"", ""period"": ""2025-03-31"", ""quarter"": ""FY"", ""sales"": 886126000000, ""gross_profit"": 139250000000, ""operating_profit"": 31779000000, ""disclosed_date"": ""2025-05-21"", ""fetched_at"": ""2026-03-02 12:46:31""}]"
1333|2024-03-31|FY,1333,2024-03-31,FY,2,"[{""ticker"": ""13330"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": 1030674000000, ""gross_profit"": 133818000000, ""operating_profit"": 26534000000, ""disclosed_date"": ""2024-05-07"", ""fetched_at"": ""2026-03-02 12:46:31""}, {""ticker"": ""13330"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": 1030674000000, ""gross_profit"": 133818000000, ""operating_profit"": 26534000000, ""disclosed_date"": ""2024-06-17"", ""fetched_at"": ""2026-03-02 12:46:31""}]"
1375|2022-03-31|FY,1375,2022-03-31,FY,3,"[{""ticker"": ""13750"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-02-03"", ""fetched_at"": ""2026-03-02 12:46:40""}, {""ticker"": ""13750"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2022-02-04"", ""fetched_at"": ""2026-03-02 12:46:40""}, {""ticker"": ""13750"", ""period"": ""2022-03-31"", ""quarter"": ""FY"", ""sales"": 47081000000, ""gross_profit"": 13350000000, ""operating_profit"": 4975000000, ""disclosed_date"": ""2022-05-12"", ""fetched_at"": ""2026-03-02 12:46:40""}]"
1375|2023-03-31|FY,1375,2023-03-31,FY,2,"[{""ticker"": ""13750"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": 42204000000, ""gross_profit"": 10516000000, ""operating_profit"": 2191000000, ""disclosed_date"": ""2023-05-11"", ""fetched_at"": ""2026-03-02 12:46:40""}, {""ticker"": ""13750"", ""period"": ""2023-03-31"", ""quarter"": ""FY"", ""sales"": 42204000000, ""gross_profit"": null, ""operating_profit"": 2191000000, ""disclosed_date"": ""2023-05-12"", ""fetched_at"": ""2026-03-02 12:46:40""}]"
1375|2024-03-31|FY,1375,2024-03-31,FY,2,"[{""ticker"": ""13750"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": null, ""gross_profit"": null, ""operating_profit"": null, ""disclosed_date"": ""2024-03-19"", ""fetched_at"": ""2026-03-02 12:46:40""}, {""ticker"": ""13750"", ""period"": ""2024-03-31"", ""quarter"": ""FY"", ""sales"": 47476000000, ""gross_profit"": 11616000000, ""operating_profit"": 2811000000, ""disclosed_date"": ""2024-05-09"", ""fetched_at"": ""2026-03-02 12:46:40""}]"
