raw_ticker,ticker,period,quarter,sales_raw,gross_profit_raw,operating_profit_raw,sales,gross_profit,operating_profit,source_raw,source_normalized,updated_at,updated_at_raw,comparison_key,reason
219A0,219A0,2025-10-31,4Q,3026500000,3026500000,726442000,3026.5,3026.5,726.442,,,,,219A0|2025-10-31|4Q,exists_in_sqlite_only
22940,2294,2023-04-30,4Q,37898000000,20177000000,3044000000,37898,20177,3044,,,,,2294|2023-04-30|4Q,exists_in_sqlite_only
26980,2698,2023-02-28,4Q,73716000000,27823000000,390000000,73716,27823,390,,,,,2698|2023-02-28|4Q,exists_in_sqlite_only
29310,2931,2021-12-31,4Q,23291848000,15003085000,-3962984000,23291.848,15003.085,-3962.984,,,,,2931|2021-12-31|4Q,exists_in_sqlite_only
39090,3909,2025-03-31,4Q,2901007000,1299416000,85901000,2901.007,1299.416,85.901,,,,,3909|2025-03-31|4Q,exists_in_sqlite_only
39760,3976,2025-10-31,4Q,2740261000,1797109000,53897000,2740.261,1797.109,53.897,,,,,3976|2025-10-31|4Q,exists_in_sqlite_only
41690,4169,2025-03-31,4Q,5180349000,4090777000,-2914348000,5180.349,4090.777,-2914.348,,,,,4169|2025-03-31|4Q,exists_in_sqlite_only
42930,4293,2023-12-31,4Q,,,3022784000,,,3022.784,,,,,4293|2023-12-31|4Q,exists_in_sqlite_only
65480,6548,2024-06-30,4Q,2773950000,764954000,-246547000,2773.95,764.954,-246.547,,,,,6548|2024-06-30|4Q,exists_in_sqlite_only
65570,6557,2022-03-31,4Q,9432319000,1047132000,-437590000,9432.319,1047.132,-437.59,,,,,6557|2022-03-31|4Q,exists_in_sqlite_only
70330,7033,2024-12-31,4Q,19527415000,8092824000,2357028000,19527.415,8092.824,2357.028,,,,,7033|2024-12-31|4Q,exists_in_sqlite_only
88920,8892,2024-03-31,4Q,103246000000,29953000000,16842000000,103246,29953,16842,,,,,8892|2024-03-31|4Q,exists_in_sqlite_only
92780,9278,2021-05-31,4Q,80127000000,48827000000,1622000000,80127,48827,1622,,,,,9278|2021-05-31|4Q,exists_in_sqlite_only
