ticker,period,quarter,comparison_key,sqlite_updated_at,supabase_updated_at,difference_type,comparison_result
4507,2026-03-31,3Q,4507|2026-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
2986,2025-12-31,3Q,2986|2025-12-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6358,2025-03-31,3Q,6358|2025-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3928,2021-12-31,1Q,3928|2021-12-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
9686,2023-03-31,FY,9686|2023-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
7607,2024-08-31,2Q,7607|2024-08-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4554,2021-09-30,FY,4554|2021-09-30|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4820,2021-12-31,3Q,4820|2021-12-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3350,2023-12-31,1Q,3350|2023-12-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
7981,2026-03-31,3Q,7981|2026-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
5929,2023-03-31,1Q,5929|2023-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6721,2025-12-31,2Q,6721|2025-12-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
5031,2025-01-31,FY,5031|2025-01-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
7822,2022-03-31,3Q,7822|2022-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
7980,2026-03-31,3Q,7980|2026-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
245A0,2026-08-31,1Q,245A0|2026-08-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
9799,2024-03-31,3Q,9799|2024-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
8041,2024-03-31,3Q,8041|2024-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
9887,2025-03-31,FY,9887|2025-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4246,2022-03-31,3Q,4246|2022-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4413,2024-02-29,3Q,4413|2024-02-29|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4449,2021-12-31,2Q,4449|2021-12-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6946,2025-03-31,2Q,6946|2025-03-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3494,2022-09-30,3Q,3494|2022-09-30|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6363,2025-03-31,1Q,6363|2025-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6986,2023-03-31,1Q,6986|2023-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3035,2025-08-20,1Q,3035|2025-08-20|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
8059,2025-03-31,1Q,8059|2025-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
9621,2024-12-31,2Q,9621|2024-12-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3541,2022-08-31,1Q,3541|2022-08-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3935,2026-02-28,3Q,3935|2026-02-28|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4284,2023-12-31,FY,4284|2023-12-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
3965,2022-09-30,3Q,3965|2022-09-30|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4888,2023-03-31,FY,4888|2023-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6195,2021-06-30,FY,6195|2021-06-30|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
5900,2026-02-28,3Q,5900|2026-02-28|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
2503,2022-12-31,2Q,2503|2022-12-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
2667,2026-09-30,1Q,2667|2026-09-30|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4392,2023-12-31,1Q,4392|2023-12-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
5949,2023-03-31,FY,5949|2023-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6494,2025-03-31,FY,6494|2025-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
8705,2025-03-31,3Q,8705|2025-03-31|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
5074,2023-06-30,2Q,5074|2023-06-30|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
7836,2022-03-31,FY,7836|2022-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4199,2023-08-31,FY,4199|2023-08-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
6293,2024-03-31,2Q,6293|2024-03-31|2Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4447,2023-09-30,3Q,4447|2023-09-30|3Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
4404,2021-12-31,1Q,4404|2021-12-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
7367,2025-03-31,FY,7367|2025-03-31|FY,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
9311,2025-03-31,1Q,9311|2025-03-31|1Q,,2026-03-10 12:25:10.471668+00:00,one_side_null,one_side_null
