ticker,period,quarter,comparison_key,column_name,sqlite_value_raw,sqlite_value_normalized,supabase_value_raw,supabase_value_normalized,difference_type
2986,2025-12-31,3Q,2986|2025-12-31|3Q,gross_profit,7970440000,7970.44,7970,7970,both_non_null_value_diff
6358,2025-03-31,3Q,6358|2025-03-31|3Q,gross_profit,5920974000,5920.974,5920,5920,both_non_null_value_diff
3928,2021-12-31,1Q,3928|2021-12-31|1Q,gross_profit,1245538000,1245.538,1245,1245,both_non_null_value_diff
9686,2023-03-31,FY,9686|2023-03-31|FY,gross_profit,5835499000,5835.499,5835,5835,both_non_null_value_diff
7607,2024-08-31,2Q,7607|2024-08-31|2Q,gross_profit,5750146000,5750.146,5750,5750,both_non_null_value_diff
3350,2023-12-31,1Q,3350|2023-12-31|1Q,gross_profit,45806000,45.806,45,45,both_non_null_value_diff
6721,2025-12-31,2Q,6721|2025-12-31|2Q,gross_profit,-14062000,-14.062,-15,-15,both_non_null_value_diff
5031,2025-01-31,FY,5031|2025-01-31|FY,gross_profit,3362237000,3362.237,3362,3362,both_non_null_value_diff
7980,2026-03-31,3Q,7980|2026-03-31|3Q,gross_profit,3110646000,3110.646,3110,3110,both_non_null_value_diff
245A0,2026-08-31,1Q,245A0|2026-08-31|1Q,gross_profit,1429728000,1429.728,1429,1429,both_non_null_value_diff
9799,2024-03-31,3Q,9799|2024-03-31|3Q,gross_profit,2312162000,2312.162,2312,2312,both_non_null_value_diff
9887,2025-03-31,FY,9887|2025-03-31|FY,gross_profit,98587489000,98587.489,98587,98587,both_non_null_value_diff
4413,2024-02-29,3Q,4413|2024-02-29|3Q,gross_profit,1985035000,1985.035,1985,1985,both_non_null_value_diff
4449,2021-12-31,2Q,4449|2021-12-31|2Q,gross_profit,1573913000,1573.913,1573,1573,both_non_null_value_diff
3494,2022-09-30,3Q,3494|2022-09-30|3Q,gross_profit,651897000,651.897,651,651,both_non_null_value_diff
3035,2025-08-20,1Q,3035|2025-08-20|1Q,gross_profit,1050503000,1050.503,1050,1050,both_non_null_value_diff
3541,2022-08-31,1Q,3541|2022-08-31|1Q,gross_profit,733248000,733.248,733,733,both_non_null_value_diff
3935,2026-02-28,3Q,3935|2026-02-28|3Q,gross_profit,2087249000,2087.249,2087,2087,both_non_null_value_diff
