ticker,period,quarter,total_rows,gp_nonnull_rows,gp_null_rows,latest_disclosed_date,latest_gross_profit,nonnull_disclosed_date,nonnull_gross_profit
13750,2023-03-31,FY,2,1,1,2023-05-12,,2023-05-11,10516000000
13750,2025-03-31,2Q,2,1,1,2024-11-25,,2024-11-07,5532000000
14350,2022-12-31,FY,2,1,1,2023-03-10,,2023-02-14,2949411000
14430,2021-03-31,FY,2,1,1,2021-06-01,,2021-05-20,2108857000
14460,2021-09-30,FY,2,1,1,2021-11-15,,2021-11-12,4073805000
14500,2025-03-31,1Q,2,1,1,2024-08-02,,2024-08-01,706528000
17200,2025-03-31,2Q,2,1,1,2024-11-26,,2024-11-07,9514000000
17680,2025-03-31,FY,2,1,1,2025-05-29,,2025-05-08,1438322000
17680,2026-03-31,3Q,2,1,1,2026-02-09,,2026-02-06,1910073000
17830,2021-09-30,FY,3,1,2,2021-12-07,,2021-11-12,1732930000
17880,2025-06-30,1Q,2,1,1,2024-12-02,181673000,2024-12-02,181673000
17980,2021-03-31,FY,2,1,1,2021-05-11,,2021-05-10,3339342000
18080,2024-03-31,FY,2,1,1,2024-05-13,,2024-05-10,160610000000
18220,2025-03-31,FY,2,1,1,2025-05-19,13136000000,2025-05-19,13136000000
18280,2022-03-31,FY,2,1,1,2022-05-27,,2022-05-13,6937398000
18280,2025-03-31,FY,2,1,1,2025-05-20,,2025-05-13,8727907000
18400,2022-10-31,FY,2,1,1,2022-12-16,,2022-12-15,8860861000
18480,2022-03-31,2Q,2,1,1,2021-11-15,,2021-11-12,2179000000
18500,2024-03-31,FY,2,1,1,2024-05-16,,2024-04-26,3785000000
18780,2024-03-31,3Q,2,1,1,2024-02-14,,2024-01-30,205371000000
19250,2021-03-31,FY,2,1,1,2021-05-17,,2021-05-14,826883000000
19590,2023-03-31,2Q,2,1,1,2022-11-08,,2022-10-26,23417000000
19600,2025-03-31,FY,3,2,1,2025-10-02,,2025-08-25,7779000000
19600,2026-03-31,1Q,2,1,1,2025-10-02,,2025-08-13,1512000000
20010,2022-03-31,FY,2,1,1,2022-05-16,,2022-05-13,74926000000
202A0,2025-03-31,2Q,2,1,1,2024-11-22,,2024-11-12,1731128000
21210,2021-03-31,FY,2,1,1,2021-08-10,,2021-05-07,93310000000
21340,2025-03-31,1Q,2,1,1,2024-11-14,,2024-08-14,79235000
21540,2023-06-30,FY,2,1,1,2023-08-22,,2023-08-10,38800000000
21680,2021-05-31,FY,2,1,1,2021-08-11,,2021-07-15,82969000000
21960,2021-03-31,FY,2,1,1,2021-09-03,,2021-05-17,5231795000
22080,2023-03-31,2Q,2,1,1,2022-10-31,,2022-10-28,9679000000
22150,2022-12-31,FY,2,1,1,2023-05-18,,2023-02-17,5734000000
22150,2023-12-31,1Q,2,1,1,2023-05-18,,2023-05-15,1499000000
22200,2026-03-31,1Q,2,1,1,2025-08-04,,2025-08-01,9673000000
22220,2021-03-31,FY,2,1,1,2021-05-14,,2021-05-13,11640332000
22220,2025-03-31,2Q,2,1,1,2025-01-17,,2024-11-05,20376000000
23010,2022-10-31,FY,2,1,1,2022-12-13,,2022-12-12,4506272000
23010,2024-10-31,2Q,2,1,1,2024-06-11,,2024-06-10,2498461000
23300,2024-12-31,1Q,2,1,1,2024-05-15,,2024-05-14,447931000
23350,2022-03-31,2Q,2,1,1,2021-11-08,,2021-11-04,1718270000
23450,2023-10-31,FY,3,2,1,2023-12-20,-204763000,2023-12-20,-204763000
23750,2023-10-31,FY,2,1,1,2023-12-12,,2023-12-11,6493755000
24040,2023-08-31,FY,2,1,1,2023-11-30,,2023-10-16,845747000
24040,2024-08-31,FY,2,1,1,2024-10-29,,2024-10-15,987528000
24280,2025-06-30,2Q,2,1,1,2025-02-14,,2025-01-31,1274963000
24290,2022-12-31,2Q,2,1,1,2022-08-16,,2022-08-09,15103000000
24370,2023-05-31,FY,2,1,1,2023-07-27,,2023-07-14,1789934000
24400,2025-03-31,1Q,2,1,1,2024-08-30,,2024-08-02,1983016000
24490,2021-08-31,FY,2,1,1,2021-10-27,,2021-10-15,1831448000
24540,2021-03-31,FY,2,1,1,2021-05-14,,2021-05-13,9363649000
24770,2022-06-30,FY,2,1,1,2022-08-04,,2022-07-29,1499879000
24800,2021-03-31,FY,2,1,1,2021-05-10,,2021-05-07,954738000
24840,2022-08-31,FY,2,1,1,2022-10-17,,2022-10-14,-1909540000
25850,2026-03-31,3Q,2,1,1,2026-02-17,,2026-02-12,18544000000
25970,2021-12-31,FY,2,1,1,2022-02-21,,2022-02-15,2396591000
26070,2024-03-31,FY,2,1,1,2024-05-27,,2024-05-09,82858000000
27760,2023-01-31,2Q,2,1,1,2022-12-21,,2022-09-14,70956000
28140,2024-03-31,2Q,2,1,1,2023-11-10,,2023-11-02,709937000
28150,2021-03-31,FY,2,1,1,2021-05-14,,2021-05-13,17255070000
28150,2022-03-31,FY,2,1,1,2022-09-16,,2022-05-12,18101969000
28150,2023-03-31,1Q,2,1,1,2022-09-16,,2022-08-05,4080172000
285A0,2026-03-31,1Q,2,1,1,2025-08-19,,2025-08-08,71179000000
28740,2025-09-30,2Q,2,1,1,2025-05-16,,2025-05-15,7701000000
28740,2025-09-30,FY,3,2,1,2025-12-19,14136000000,2025-12-19,14136000000
28830,2021-03-31,FY,2,1,1,2021-06-15,,2021-05-10,3848100000
29040,2023-06-30,FY,2,1,1,2023-11-21,,2023-08-04,5391319000
