ticker,period,quarter,sales,gross_profit,operating_profit
130A0,2023-12-31,FY,360000000,,37000000
130A0,2024-12-31,1Q,63539000,,-65000000
130A0,2024-12-31,2Q,112488000,,-66000000
130A0,2024-12-31,3Q,169576000,,-121000000
130A0,2024-12-31,FY,235018000,,-212000000
13750,2023-03-31,FY,42204000000,,2191000000
13750,2025-03-31,2Q,21555000000,,1316000000
14170,2021-03-31,FY,463744000000,,30129000000
14170,2022-03-31,1Q,100546000000,,4707000000
14170,2022-03-31,2Q,211851000000,,11071000000
14170,2022-03-31,3Q,324598000000,,19105000000
14170,2022-03-31,FY,470385000000,,32804000000
14170,2023-03-31,1Q,95336000000,,-1147000000
14170,2023-03-31,2Q,202085000000,,899000000
14170,2023-03-31,3Q,320706000000,,6108000000
14170,2023-03-31,FY,483987000000,,21803000000
14170,2024-03-31,1Q,100524000000,,889000000
14170,2024-03-31,2Q,216640000000,,2364000000
14170,2024-03-31,3Q,343862000000,,4967000000
14350,2022-12-31,FY,5421000000,,645000000
14430,2021-03-31,FY,9361000000,,1202000000
14440,2021-07-31,2Q,1377000000,,67000000
14440,2021-07-31,3Q,2115000000,,116000000
14440,2021-07-31,FY,2880000000,,158000000
14440,2022-07-31,1Q,675000000,,30000000
14440,2022-07-31,2Q,1539000000,,79000000
14440,2022-07-31,3Q,2539000000,,160000000
14440,2022-07-31,FY,3504000000,,220000000
14440,2023-07-31,1Q,1028000000,,71000000
14440,2023-07-31,2Q,1947000000,,94000000
14440,2023-07-31,3Q,3015000000,,151000000
14460,2021-09-30,FY,11220000000,,63000000
14500,2025-03-31,1Q,2585000000,,482000000
17160,2026-06-30,1Q,5475000000,,755000000
17160,2026-06-30,2Q,10893000000,,1395000000
17200,2025-03-31,2Q,118626000000,,-5000000
17680,2025-03-31,FY,15196000000,,658000000
17680,2026-03-31,3Q,15454000000,,1281000000
17830,2021-09-30,FY,6894000000,,335000000
17830,2021-09-30,FY,6894000000,,335000000
17860,2022-03-31,1Q,16715000000,,1608000000
17860,2022-03-31,2Q,29241000000,,2376000000
17860,2022-03-31,3Q,43875000000,,3933000000
17860,2022-03-31,FY,60726000000,,5308000000
17860,2023-03-31,1Q,12613000000,,777000000
17860,2023-03-31,2Q,26203000000,,1983000000
17860,2023-03-31,3Q,43068000000,,3937000000
17860,2023-03-31,FY,61480000000,,5214000000
17860,2024-03-31,1Q,15592000000,,1076000000
17860,2024-03-31,2Q,30742000000,,2390000000
17860,2024-03-31,3Q,49295000000,,5069000000
17860,2024-03-31,FY,67382000000,,6533000000
17860,2025-03-31,1Q,16936000000,,2116000000
17860,2025-03-31,2Q,33045000000,,4018000000
17860,2025-03-31,3Q,50112000000,,5366000000
17860,2025-03-31,FY,64553000000,,5434000000
17860,2026-03-31,1Q,18302000000,,2009000000
17860,2026-03-31,2Q,36121000000,,3743000000
17860,2026-03-31,3Q,52744000000,,4669000000
17880,2025-06-30,1Q,1655000000,,34000000
17950,2021-09-30,2Q,4375000000,,385000000
17950,2021-09-30,3Q,4961000000,,243000000
17950,2021-09-30,FY,7794000000,,406000000
17950,2022-09-30,1Q,947000000,,-87000000
17950,2022-09-30,2Q,3766000000,,253000000
17950,2022-09-30,3Q,4890000000,,123000000
17950,2022-09-30,FY,6959000000,,198000000
17950,2023-09-30,1Q,1478000000,,-147000000
17950,2023-09-30,2Q,4059000000,,263000000
17950,2023-09-30,3Q,5613000000,,45000000
17950,2023-09-30,FY,8635000000,,504000000
17950,2024-09-30,1Q,1353000000,,-161000000
17950,2024-09-30,2Q,4658000000,,393000000
17950,2024-09-30,3Q,5932000000,,193000000
17950,2024-09-30,FY,8947000000,,407000000
17950,2025-09-30,1Q,2075000000,,-124000000
17950,2025-09-30,2Q,5720000000,,420000000
17950,2025-09-30,3Q,7552000000,,351000000
17950,2025-09-30,FY,10647000000,,638000000
