ticker_code,filing_id,source_type,extraction_path,metric_name,segment_name,target_fiscal_year_end,target_quarter,target_period_type,value,source_basis,action,skipped_reason
0432,04329b041f42b57be022cd1b,order,A,orders_total,,2025-03-31,4Q,cumulative,13859.907,yoy,skipped,existing_value
0432,04329b041f42b57be022cd1b,order,A,backlog_total,,2025-03-31,4Q,point_in_time,5227.805,yoy,skipped,existing_value
0489,0489fbcfd8ec9397dca79ec3,order,A,orders_total,,2025-03-31,3Q,cumulative,275393.0,yoy,skipped,existing_value
0537,0537e177a334c6f6c7d52a47,order,A,backlog_total,,2025-03-31,3Q,point_in_time,7062.0,yoy,skipped,existing_value
0537,0537e177a334c6f6c7d52a47,order,A,backlog_total,,2025-03-31,4Q,point_in_time,9114.0,prev_period_end,skipped,existing_value
0537,0537e177a334c6f6c7d52a47,order,A,carryover_construction_total,,2025-03-31,3Q,point_in_time,7062.0,yoy,skipped,existing_value
0537,0537e177a334c6f6c7d52a47,order,A,carryover_construction_total,,2025-03-31,4Q,point_in_time,9114.0,prev_period_end,skipped,existing_value
0b24,0b24fc6ea5f16d4381cd61b4,order,A,orders_total,,2025-03-31,3Q,cumulative,54286.0,yoy,skipped,existing_value
0db7,0db716111c27e16423ae52a7,order,A,orders_total,,2025-01-31,4Q,cumulative,4052604.0,yoy,skipped,existing_value
0db7,0db716111c27e16423ae52a7,order,A,backlog_total,,2025-01-31,4Q,point_in_time,1754577.0,yoy,skipped,existing_value
15f9,15f908217c8f96c4dd37ba96,order,A,orders_total,,2025-03-31,3Q,cumulative,15763.0,yoy,skipped,existing_value
18f7,18f715f3f6662b4e6b226b84,order,A,orders_total,,2025-03-31,3Q,cumulative,311.0,yoy,skipped,existing_value
1a2b,1a2b29d1f117972e0aeb50e3,order,A,orders_total,,2025-03-31,1Q,cumulative,20191.0,yoy,inserted,
1a2b,1a2b29d1f117972e0aeb50e3,order,A,backlog_total,,2025-03-31,1Q,point_in_time,48596.0,yoy,inserted,
1a96,1a9656d08196d5146728bf05,order,A,backlog_total,,2025-03-31,3Q,point_in_time,140944.0,yoy_end,inserted,
