ticker,file,latest_full_year_eps,status
,140120260323586661.pdf,,eps_none
,140120260324587128.pdf,,eps_none
7356,140120260324587650.pdf,,eps_none
,140120260324587688.pdf,,eps_none
7148,140120260325588169.pdf,,eps_none
,140120260325588299.pdf,,eps_none
,140120260325589087.pdf,,eps_none
,140120260326589533.pdf,,eps_none
,140120260326590100.pdf,534434639124724.7,ok
,140120260326590132.pdf,,eps_none
,140120260326590133.pdf,,eps_none
,140120260327591465.pdf,,eps_none
,140120260327591467.pdf,,eps_none
,140120260330592230.pdf,,eps_none
,140120260330592266.pdf,,eps_none
,140120260330592406.pdf,,eps_none
,140120260330593097.pdf,,eps_none
,140120260330593128.pdf,,eps_none
,140120260330593390.pdf,,eps_none
,140120260331594940.pdf,,eps_none
