[2026/03/14  8:02:02.00] Starting process 
[08:02:02] [db] config: write_key_type=service_role read_key_type=service_role
[08:02:03] [pipeline_run] started: process (id=211, trigger=scheduler)
[08:02:03] [filings_process] Step 1: SQLite → Supabase push
[08:02:03] [PUSH] SQLite総行数: 91727, 今回対象: 91727 件
[08:02:03] [Phase 1/4] companies 一括 upsert...
[08:02:05]   → 2853 社 完了 (1.3秒)
[08:02:05] [Phase 2/4] periods 一括 upsert...
[08:02:25]   → 91727 期間 完了 (21.8秒)
[08:02:25] [Phase 3/4] disclosures 一括 upsert...
[08:02:25]   対象 disclosure: 91727 件
[08:02:46]   既存 disclosure: 183322 件
[08:02:46]   新規なし（全件既存）
[08:02:46]   → 183322 disclosure 完了 (42.3秒)
[08:02:46] [Phase 4/4] facts 一括 upsert (batch=500, offset=0)...
[08:02:46]   batch 1: 226/91727 (0.2%) facts=500 sanitized=0 経過=43秒 残り\u224817314秒
[08:02:46]   batch 2: 477/91727 (0.5%) facts=1002 sanitized=0 経過=43秒 残り\u22488248秒
[08:02:47]   batch 3: 709/91727 (0.8%) facts=1503 sanitized=0 経過=43秒 残り\u22485577秒
[08:02:47]   batch 4: 959/91727 (1.0%) facts=2005 sanitized=0 経過=44秒 残り\u22484143秒
[08:02:47]   batch 5: 1188/91727 (1.3%) facts=2505 sanitized=0 経過=44秒 残り\u22483354秒
[08:02:48]   batch 6: 1439/91727 (1.6%) facts=3006 sanitized=0 経過=44秒 残り\u22482776秒
[08:02:48]   batch 7: 1668/91727 (1.8%) facts=3507 sanitized=0 経過=44秒 残り\u22482400秒
[08:02:48]   batch 8: 1909/91727 (2.1%) facts=4007 sanitized=0 経過=45秒 残り\u22482102秒
[08:02:48]   batch 9: 2144/91727 (2.3%) facts=4507 sanitized=0 経過=45秒 残り\u22481878秒
[08:02:48]   batch 10: 2370/91727 (2.6%) facts=5007 sanitized=0 経過=45秒 残り\u22481703秒
[08:02:49]   batch 11: 2626/91727 (2.9%) facts=5509 sanitized=0 経過=45秒 残り\u22481542秒
[08:02:49]   batch 12: 2863/91727 (3.1%) facts=6011 sanitized=0 経過=46秒 残り\u22481418秒
[08:02:49]   batch 13: 3129/91727 (3.4%) facts=6512 sanitized=0 経過=46秒 残り\u22481306秒
[08:02:50]   batch 14: 3375/91727 (3.7%) facts=7014 sanitized=0 経過=46秒 残り\u22481216秒
[08:02:50]   batch 15: 3638/91727 (4.0%) facts=7514 sanitized=0 経過=47秒 残り\u22481134秒
[08:02:50]   batch 16: 3884/91727 (4.2%) facts=8015 sanitized=0 経過=47秒 残り\u22481066秒
[08:02:51]   batch 17: 4134/91727 (4.5%) facts=8517 sanitized=0 経過=47秒 残り\u22481004秒
[08:02:51]   batch 18: 4384/91727 (4.8%) facts=9017 sanitized=0 経過=48秒 残り\u2248950秒
[08:02:51]   batch 19: 4621/91727 (5.0%) facts=9518 sanitized=0 経過=48秒 残り\u2248904秒
[08:02:52]   batch 20: 4871/91727 (5.3%) facts=10020 sanitized=0 経過=48秒 残り\u2248860秒
[08:02:52]   batch 21: 5095/91727 (5.6%) facts=10521 sanitized=0 経過=49秒 残り\u2248825秒
[08:02:52]   batch 22: 5353/91727 (5.8%) facts=11021 sanitized=0 経過=49秒 残り\u2248788秒
[08:02:52]   batch 23: 5611/91727 (6.1%) facts=11523 sanitized=0 経過=49秒 残り\u2248753秒
[08:02:53]   batch 24: 5843/91727 (6.4%) facts=12024 sanitized=0 経過=49秒 残り\u2248725秒
[08:02:53]   batch 25: 6114/91727 (6.7%) facts=12526 sanitized=0 経過=50秒 残り\u2248693秒
[08:02:53]   batch 26: 6350/91727 (6.9%) facts=13028 sanitized=0 経過=50秒 残り\u2248668秒
[08:02:53]   batch 27: 6589/91727 (7.2%) facts=13530 sanitized=0 経過=50秒 残り\u2248645秒
[08:02:53]   batch 28: 6851/91727 (7.5%) facts=14030 sanitized=0 経過=50秒 残り\u2248621秒
[08:02:54]   batch 29: 7104/91727 (7.7%) facts=14531 sanitized=0 経過=50秒 残り\u2248599秒
[08:02:54]   batch 30: 7345/91727 (8.0%) facts=15033 sanitized=0 経過=50秒 残り\u2248580秒
[08:02:54]   batch 31: 7595/91727 (8.3%) facts=15535 sanitized=0 経過=51秒 残り\u2248561秒
[08:02:54]   batch 32: 7841/91727 (8.5%) facts=16037 sanitized=0 経過=51秒 残り\u2248544秒
[08:02:54]   batch 33: 8093/91727 (8.8%) facts=16537 sanitized=0 経過=51秒 残り\u2248528秒
[08:02:55]   batch 34: 8328/91727 (9.1%) facts=17038 sanitized=0 経過=51秒 残り\u2248513秒
[08:02:55]   batch 35: 8579/91727 (9.4%) facts=17538 sanitized=0 経過=51秒 残り\u2248498秒
[08:02:55]   batch 36: 8802/91727 (9.6%) facts=18038 sanitized=0 経過=52秒 残り\u2248486秒
[08:02:55]   batch 37: 9024/91727 (9.8%) facts=18538 sanitized=0 経過=52秒 残り\u2248475秒
[08:02:55]   batch 38: 9252/91727 (10.1%) facts=19038 sanitized=0 経過=52秒 残り\u2248463秒
[08:02:55]   batch 39: 9500/91727 (10.4%) facts=19540 sanitized=0 経過=52秒 残り\u2248451秒
[08:02:56]   batch 40: 9736/91727 (10.6%) facts=20040 sanitized=0 経過=52秒 残り\u2248440秒
[08:02:56]   batch 41: 9976/91727 (10.9%) facts=20542 sanitized=0 経過=52秒 残り\u2248430秒
[08:02:56]   batch 42: 10242/91727 (11.2%) facts=21042 sanitized=0 経過=53秒 残り\u2248419秒
[08:02:56]   batch 43: 10529/91727 (11.5%) facts=21543 sanitized=0 経過=53秒 残り\u2248407秒
[08:02:56]   batch 44: 10826/91727 (11.8%) facts=22043 sanitized=0 経過=53秒 残り\u2248396秒
[08:02:56]   batch 45: 11183/91727 (12.2%) facts=22543 sanitized=0 経過=53秒 残り\u2248383秒
[08:02:57]   batch 46: 11461/91727 (12.5%) facts=23043 sanitized=0 経過=53秒 残り\u2248373秒
[08:02:57]   batch 47: 11691/91727 (12.7%) facts=23545 sanitized=0 経過=53秒 残り\u2248366秒
[08:02:57]   batch 48: 11963/91727 (13.0%) facts=24045 sanitized=0 経過=54秒 残り\u2248357秒
[08:02:57]   batch 49: 12232/91727 (13.3%) facts=24546 sanitized=0 経過=54秒 残り\u2248349秒
[08:02:57]   batch 50: 12468/91727 (13.6%) facts=25047 sanitized=0 経過=54秒 残り\u2248343秒
[08:02:57]   batch 51: 12691/91727 (13.8%) facts=25548 sanitized=0 経過=54秒 残り\u2248337秒
[08:02:58]   batch 52: 12933/91727 (14.1%) facts=26050 sanitized=0 経過=54秒 残り\u2248330秒
[08:02:58]   batch 53: 13186/91727 (14.4%) facts=26550 sanitized=0 経過=54秒 残り\u2248324秒
[08:02:58]   batch 54: 13413/91727 (14.6%) facts=27050 sanitized=0 経過=55秒 残り\u2248319秒
[08:02:58]   batch 55: 13645/91727 (14.9%) facts=27550 sanitized=0 経過=55秒 残り\u2248314秒
[08:02:58]   batch 56: 13902/91727 (15.2%) facts=28052 sanitized=0 経過=55秒 残り\u2248308秒
[08:02:58]   batch 57: 14163/91727 (15.4%) facts=28554 sanitized=0 経過=55秒 残り\u2248302秒
[08:02:59]   batch 58: 14394/91727 (15.7%) facts=29055 sanitized=0 経過=55秒 残り\u2248298秒
[08:02:59]   batch 59: 14632/91727 (16.0%) facts=29556 sanitized=0 経過=56秒 残り\u2248293秒
[08:02:59]   batch 60: 14860/91727 (16.2%) facts=30057 sanitized=0 経過=56秒 残り\u2248289秒
[08:02:59] [SANITIZE] 元値が10^16超 (5.40e+303): col=operating_profit val=5.4e+303 ticker=46850 fye=2028-03-31 Q=2Q
[08:02:59]   batch 61: 15079/91727 (16.4%) facts=30557 sanitized=1 経過=56秒 残り\u2248285秒
[08:03:00]   batch 62: 15308/91727 (16.7%) facts=31057 sanitized=1 経過=56秒 残り\u2248281秒
[08:03:00]   batch 63: 15538/91727 (16.9%) facts=31557 sanitized=1 経過=57秒 残り\u2248277秒
[08:03:00]   batch 64: 15781/91727 (17.2%) facts=32059 sanitized=1 経過=57秒 残り\u2248273秒
[08:03:00]   batch 65: 16031/91727 (17.5%) facts=32559 sanitized=1 経過=57秒 残り\u2248269秒
[08:03:00]   batch 66: 16246/91727 (17.7%) facts=33059 sanitized=1 経過=57秒 残り\u2248265秒
[08:03:01]   batch 67: 16482/91727 (18.0%) facts=33560 sanitized=1 経過=57秒 残り\u2248261秒
[08:03:01]   batch 68: 16726/91727 (18.2%) facts=34060 sanitized=1 経過=57秒 残り\u2248257秒
[08:03:01]   batch 69: 16952/91727 (18.5%) facts=34560 sanitized=1 経過=58秒 残り\u2248254秒
[08:03:01]   batch 70: 17198/91727 (18.7%) facts=35060 sanitized=1 経過=58秒 残り\u2248250秒
[08:03:01]   batch 71: 17433/91727 (19.0%) facts=35561 sanitized=1 経過=58秒 残り\u2248247秒
[08:03:01]   batch 72: 17643/91727 (19.2%) facts=36063 sanitized=1 経過=58秒 残り\u2248244秒
[08:03:02]   batch 73: 17871/91727 (19.5%) facts=36565 sanitized=1 経過=58秒 残り\u2248241秒
[08:03:02]   batch 74: 18091/91727 (19.7%) facts=37066 sanitized=1 経過=58秒 残り\u2248238秒
[08:03:02]   batch 75: 18339/91727 (20.0%) facts=37567 sanitized=1 経過=59秒 残り\u2248235秒
[08:03:02]   batch 76: 18585/91727 (20.3%) facts=38067 sanitized=1 経過=59秒 残り\u2248231秒
[08:03:02]   batch 77: 18840/91727 (20.5%) facts=38569 sanitized=1 経過=59秒 残り\u2248228秒
[08:03:02]   batch 78: 19096/91727 (20.8%) facts=39069 sanitized=1 経過=59秒 残り\u2248225秒
[08:03:03]   batch 79: 19340/91727 (21.1%) facts=39571 sanitized=1 経過=59秒 残り\u2248222秒
[08:03:03]   batch 80: 19571/91727 (21.3%) facts=40073 sanitized=1 経過=59秒 残り\u2248219秒
[08:03:03]   batch 81: 19835/91727 (21.6%) facts=40573 sanitized=1 経過=60秒 残り\u2248216秒
[08:03:03]   batch 82: 20077/91727 (21.9%) facts=41074 sanitized=1 経過=60秒 残り\u2248214秒
[08:03:03]   batch 83: 20330/91727 (22.2%) facts=41576 sanitized=1 経過=60秒 残り\u2248211秒
[08:03:04]   batch 84: 20568/91727 (22.4%) facts=42077 sanitized=1 経過=60秒 残り\u2248209秒
[08:03:04]   batch 85: 20844/91727 (22.7%) facts=42577 sanitized=1 経過=60秒 残り\u2248206秒
[08:03:04]   batch 86: 21061/91727 (23.0%) facts=43077 sanitized=1 経過=61秒 残り\u2248204秒
[08:03:04]   batch 87: 21319/91727 (23.2%) facts=43579 sanitized=1 経過=61秒 残り\u2248201秒
[08:03:04]   batch 88: 21609/91727 (23.6%) facts=44081 sanitized=1 経過=61秒 残り\u2248198秒
[08:03:05]   batch 89: 21845/91727 (23.8%) facts=44581 sanitized=1 経過=61秒 残り\u2248196秒
[08:03:05]   batch 90: 22074/91727 (24.1%) facts=45082 sanitized=1 経過=62秒 残り\u2248194秒
[08:03:05]   batch 91: 22294/91727 (24.3%) facts=45583 sanitized=1 経過=62秒 残り\u2248192秒
[08:03:05]   batch 92: 22539/91727 (24.6%) facts=46084 sanitized=1 経過=62秒 残り\u2248190秒
[08:03:05]   batch 93: 22780/91727 (24.8%) facts=46584 sanitized=1 経過=62秒 残り\u2248188秒
[08:03:06]   batch 94: 23020/91727 (25.1%) facts=47084 sanitized=1 経過=62秒 残り\u2248186秒
[08:03:06]   batch 95: 23266/91727 (25.4%) facts=47584 sanitized=1 経過=62秒 残り\u2248184秒
[08:03:06]   batch 96: 23512/91727 (25.6%) facts=48085 sanitized=1 経過=63秒 残り\u2248182秒
[08:03:06]   batch 97: 23760/91727 (25.9%) facts=48585 sanitized=1 経過=63秒 残り\u2248180秒
[08:03:06]   batch 98: 24009/91727 (26.2%) facts=49085 sanitized=1 経過=63秒 残り\u2248178秒
[08:03:06]   batch 99: 24249/91727 (26.4%) facts=49586 sanitized=1 経過=63秒 残り\u2248176秒
[08:03:07]   batch 100: 24520/91727 (26.7%) facts=50088 sanitized=1 経過=63秒 残り\u2248174秒
[08:03:07]   batch 101: 24742/91727 (27.0%) facts=50590 sanitized=1 経過=63秒 残り\u2248172秒
[08:03:07]   batch 102: 24956/91727 (27.2%) facts=51091 sanitized=1 経過=64秒 残り\u2248170秒
[08:03:07]   batch 103: 25188/91727 (27.5%) facts=51591 sanitized=1 経過=64秒 残り\u2248169秒
[08:03:07]   batch 104: 25436/91727 (27.7%) facts=52091 sanitized=1 経過=64秒 残り\u2248167秒
[08:03:07]   batch 105: 25663/91727 (28.0%) facts=52593 sanitized=1 経過=64秒 残り\u2248165秒
[08:03:08]   batch 106: 25913/91727 (28.3%) facts=53093 sanitized=1 経過=64秒 残り\u2248164秒
[08:03:08]   batch 107: 26173/91727 (28.5%) facts=53595 sanitized=1 経過=65秒 残り\u2248162秒
[08:03:08]   batch 108: 26428/91727 (28.8%) facts=54097 sanitized=1 経過=65秒 残り\u2248160秒
[08:03:08]   batch 109: 26666/91727 (29.1%) facts=54599 sanitized=1 経過=65秒 残り\u2248159秒
[08:03:08]   batch 110: 26903/91727 (29.3%) facts=55100 sanitized=1 経過=65秒 残り\u2248157秒
[08:03:09]   batch 111: 27156/91727 (29.6%) facts=55602 sanitized=1 経過=65秒 残り\u2248155秒
[08:03:09]   batch 112: 27389/91727 (29.9%) facts=56102 sanitized=1 経過=65秒 残り\u2248154秒
[08:03:09]   batch 113: 27638/91727 (30.1%) facts=56602 sanitized=1 経過=66秒 残り\u2248152秒
[08:03:09]   batch 114: 27908/91727 (30.4%) facts=57103 sanitized=1 経過=66秒 残り\u2248151秒
[08:03:09]   batch 115: 28147/91727 (30.7%) facts=57605 sanitized=1 経過=66秒 残り\u2248149秒
[08:03:09]   batch 116: 28397/91727 (31.0%) facts=58105 sanitized=1 経過=66秒 残り\u2248148秒
[08:03:10]   batch 117: 28629/91727 (31.2%) facts=58606 sanitized=1 経過=66秒 残り\u2248146秒
[08:03:10]   batch 118: 28867/91727 (31.5%) facts=59108 sanitized=1 経過=67秒 残り\u2248145秒
[08:03:10]   batch 119: 29095/91727 (31.7%) facts=59608 sanitized=1 経過=67秒 残り\u2248144秒
[08:03:10]   batch 120: 29321/91727 (32.0%) facts=60110 sanitized=1 経過=67秒 残り\u2248142秒
[08:03:10]   batch 121: 29607/91727 (32.3%) facts=60611 sanitized=1 経過=67秒 残り\u2248141秒
