ticker,disclosure_date,title,reason
4331,2026-03-06,(訂正・数値データ訂正） 「2025年12月期 決算短信〔日本基準〕（連結）」の訂正に関するお知らせ,excluded_correction
319A0,2026-03-06,(訂正・数値データ訂正) 「2025年12月期 決算短信〔日本基準〕(連結)」の一部訂正に関するお知らせ,excluded_correction
481A0,2026-03-06,（訂正）2025年12月期 決算短信〔日本基準〕（非連結）の一部訂正について,excluded_correction
4151,2026-03-09,(訂正・数値データ訂正)「2025年12月期 決算短信〔IFRS〕（連結）」の一部訂正について,excluded_correction
4151,2026-03-09,（再訂正）「決算短信補足資料 -2025年12月期 -」の一部訂正について,excluded_correction
4811,2026-03-09,「2025年12月期 通期決算説明会」質疑応答集および書き起こし公開,excluded_non_earnings_summary
7865,2026-03-10,(訂正・数値データ訂正)「2026年１月期決算短信〔日本基準〕（非連結）」 の一部訂正について,excluded_correction
8955,2026-03-10,（訂正・数値データ訂正）「2025年12月期 決算短信（ＲＥＩＴ）」の一部訂正に関するお知らせ,excluded_correction
6265,2026-03-10,（訂正）「2024年12月期　決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
6265,2026-03-10,（訂正）「2025年12月期　決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
4892,2026-03-11,2025年12月期 通期決算に関する質疑応答集,excluded_non_earnings_summary
6870,2026-03-11,（訂正・数値データ訂正）「2025 年 12 月期 決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
6081,2026-03-12,（訂正）「2025 年 12 月期 決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
6696,2026-03-12,2026年１月期 通期決算説明資料,excluded_presentation
7674,2026-03-13,2026年１月期通期　決算説明資料,excluded_presentation
4175,2026-03-13,2026年1月期 通期 決算説明資料(事業計画及び成長可能性に関する事項),excluded_presentation
446A0,2026-03-13,2026年１月期通期決算説明会資料,excluded_non_earnings_summary
4979,2026-03-13,（訂正・数値データ訂正）「2025年12月期決算短信〔日本基準〕（連結）」の一部訂正について,excluded_correction
7972,2026-03-13,（訂正）「2025年12月期 決算短信〔日本基準〕(連結)」の一部訂正について,excluded_correction
2163,2026-03-13,2026年1月期　決算短信補足説明資料,excluded_presentation
5031,2026-03-13,よくある質問と回答（2026年1月期通期決算）,excluded_non_earnings_summary
