ticker,disclosure_date,title,reason
9338,2026-02-13,2025年12月期 決算短信〔日本基準〕（連結）,included_earnings_summary
9927,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕(連結),included_earnings_summary
2334,2026-02-13,2026年3月期 第3四半期決算短信〔日本基準〕（連結）,included_earnings_summary
7071,2026-02-13,2026年９月期第１四半期決算短信〔日本基準〕〈連結〉,included_earnings_summary
7092,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
3719,2026-02-13,令和７年12月期 決算短信〔日本基準〕（非連結）,included_earnings_summary
6177,2026-02-13,2025年12月期決算短信（日本基準）（連結）,included_earnings_summary
7116,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
385A0,2026-02-13,2025年12月期決算短信〔日本基準〕（連結）,included_earnings_summary
4088,2026-02-13,2026年３月期第２四半期（中間期）決算短信〔ＩＦＲＳ〕（連結）,included_earnings_summary
7118,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
9193,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
9211,2026-02-13,2025年12月期 決算短信〔ＩＦＲＳ〕(連結),included_earnings_summary
9257,2026-02-13,2025年12月期　決算短信〔ＳＦＲＳ(Ｉ)及びＩＦＲＳ〕（連結）,included_earnings_summary
9760,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕(連結),included_earnings_summary
7057,2026-02-13,2026年3月期 第3四半期 決算短信[日本基準]（連結）,included_earnings_summary
5241,2026-02-13,2025年12月期 決算短信〔日本基準〕(非連結),included_earnings_summary
6993,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
171A0,2026-02-13,2026年６月期 中間決算短信〔日本基準〕（連結）,included_earnings_summary
227A0,2026-02-13,2025年12月期決算短信〔日本基準〕（非連結）,included_earnings_summary
2332,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕(連結),included_earnings_summary
3053,2026-02-13,2025年12月期 決算短信〔日本基準〕（非連結）,included_earnings_summary
326A0,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
3726,2026-02-13,2026年９月期第１四半期決算短信〔日本基準〕(連結),included_earnings_summary
389A0,2026-02-13,2025年12月期決算短信〔日本基準〕(非連結),included_earnings_summary
4112,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
4427,2026-02-13,2026年９月期第１四半期決算短信〔日本基準〕（連結）,included_earnings_summary
477A0,2026-02-13,2026年3月期 第3四半期決算短信〔日本基準〕（非連結）,included_earnings_summary
5028,2026-02-13,2025年12月期 決算短信〔日本基準〕(連結),included_earnings_summary
5072,2026-02-13,2025年12月期　決算短信〔日本基準〕（連結）,included_earnings_summary
5868,2026-02-13,2025年12月期決算短信〔日本基準〕(連結),included_earnings_summary
6554,2026-02-13,2026年９月期 第１四半期決算短信〔日本基準〕（連結）,included_earnings_summary
6877,2026-02-13,2026年９月期第１四半期決算短信〔日本基準〕(連結),included_earnings_summary
7021,2026-02-13,2026年3月期 第3四半期決算短信〔日本基準〕（連結）,included_earnings_summary
7078,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
7080,2026-02-13,2025年12月期　決算短信〔日本基準〕（連結）,included_earnings_summary
7244,2026-02-13,2025年12月期 決算短信〔日本基準〕(連結),included_earnings_summary
7691,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
7874,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕(連結),included_earnings_summary
8616,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕(連結)（公認会計士等による期中レビューの完了）,included_earnings_summary
8946,2026-02-13,2025年12月期 決算短信〔日本基準〕（連結）,included_earnings_summary
9213,2026-02-13,2025年12月期 決算短信〔日本基準〕（連結）,included_earnings_summary
9399,2026-02-13,2025年12月期　決算短信〔日本基準〕（連結）,included_earnings_summary
9501,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕(連結)(開示事項の変更及び公認会計士等による期中レビューの完了）,included_earnings_summary
7135,2026-02-13,2026年６月期 第２四半期（中間期）決算短信〔日本基準〕（連結）,included_earnings_summary
9973,2026-02-13,2025年12月期 決算短信〔日本基準〕（連結）,included_earnings_summary
254A0,2026-02-13,2026年３月期 第３四半期決算短信〔ＩＦＲＳ〕（連結）,included_earnings_summary
5194,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
206A0,2026-02-13,2026年９月期第１四半期決算短信〔日本基準〕(非連結),included_earnings_summary
2694,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕(連結),included_earnings_summary
2915,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
3358,2026-02-13,2026年3月期 第3四半期決算短信〔日本基準〕（連結）,included_earnings_summary
3416,2026-02-13,2025年12月期決算短信〔日本基準〕（連結）,included_earnings_summary
3469,2026-02-13,2026年6月期 第2四半期(中間期)決算短信〔日本基準〕（連結）,included_earnings_summary
3687,2026-02-13,2026年9月期 第1四半期決算短信〔日本基準〕（連結）,included_earnings_summary
3909,2026-02-13,2026年３月期  第４四半期決算短信〔日本基準〕（連結）,included_earnings_summary
3963,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕(連結),included_earnings_summary
4059,2026-02-13,2026年９月期 第１四半期決算短信〔日本基準〕（非連結）,included_earnings_summary
4193,2026-02-13,2026年３月期 第３四半期 決算短信〔日本基準〕（連結）,included_earnings_summary
421A0,2026-02-13,2025年12月期決算短信〔日本基準〕(連結),included_earnings_summary
4331,2026-02-13,2025年12月期　決算短信[日本基準]（連結）,included_earnings_summary
4634,2026-02-13,2025年12月期決算短信〔日本基準〕(連結),included_earnings_summary
4848,2026-02-13,2025年12月期決算短信〔日本基準〕(連結),included_earnings_summary
5210,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
5721,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕(非連結),included_earnings_summary
5856,2026-02-13,2026年３月期第３四半期決算短信の開示が四半期末後45日を超えることに関するお知らせ,included_earnings_summary
6034,2026-02-13,2025年12月期　決算短信〔IFRS〕（連結）,included_earnings_summary
6074,2026-02-13,2026年3月期 第3四半期決算短信〔日本基準〕（連結）,included_earnings_summary
6369,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
6633,2026-02-13,2025年12月期決算短信〔日本基準〕(連結),included_earnings_summary
7041,2026-02-13,2026年９月期第１四半期決算短信〔日本基準〕(連結),included_earnings_summary
7578,2026-02-13,2026年3月期 第3四半期決算短信〔日本基準〕（非連結）,included_earnings_summary
7699,2026-02-13,2026年３月期　第３四半期決算短信〔SFRS〕(連結),included_earnings_summary
7769,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕(連結),included_earnings_summary
8746,2026-02-13,2026年３月期  第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
9052,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
9069,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
9271,2026-02-13,2025年12月期決算短信〔日本基準〕(連結),included_earnings_summary
208A0,2026-02-13,2026年６月期  第２四半期（中間期）決算短信〔日本基準〕（連結）,included_earnings_summary
5258,2026-02-13,2026年３月期第３四半期決算短信[日本基準]（連結）,included_earnings_summary
7063,2026-02-13,2026年６月期第２四半期（中間期）決算短信〔日本基準〕（連結）,included_earnings_summary
5356,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕(連結),included_earnings_summary
4893,2026-02-13,2025年12月期  決算短信〔日本基準〕（非連結）,included_earnings_summary
134A0,2026-02-13,2025年12月期　決算短信〔日本基準〕（非連結）,included_earnings_summary
1491,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
1518,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
157A0,2026-02-13,2026年６月期第２四半期（中間期）決算短信〔日本基準〕(連結),included_earnings_summary
160A0,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕（非連結）,included_earnings_summary
1663,2026-02-13,2025年12月期　決算短信〔日本基準〕(連結),included_earnings_summary
1783,2026-02-13,2026年９月期第１四半期決算短信〔日本基準〕(連結),included_earnings_summary
1833,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
1848,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
2160,2026-02-13,2025年12月期 決算短信〔IFRS〕（連結）,included_earnings_summary
2183,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
2215,2026-02-13,2025年12月期 決算短信〔日本基準〕(連結),included_earnings_summary
2325,2026-02-13,2025年12月期　決算短信〔日本基準〕（連結）,included_earnings_summary
2464,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
246A0,2026-02-13,2026年６月期 第２四半期（中間期）決算短信〔日本基準〕（非連結）,included_earnings_summary
247A0,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（非連結）,included_earnings_summary
2492,2026-02-13,2025年12月期 決算短信〔日本基準〕（連結）,included_earnings_summary
2531,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
2597,2026-02-13,2025年12月期決算短信〔日本基準〕（連結）,included_earnings_summary
2654,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕(連結),included_earnings_summary
2780,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
281A0,2026-02-13,2025年12月期決算短信〔日本基準〕(連結),included_earnings_summary
286A0,2026-02-13,2025年12月期決算短信〔日本基準〕(連結),included_earnings_summary
287A0,2026-02-13,2026年３月期  第３四半期決算短信〔ＩＦＲＳ〕（連結）,included_earnings_summary
2904,2026-02-13,2026年６月期　第２四半期（中間期）決算短信〔日本基準〕（連結）,included_earnings_summary
2961,2026-02-13,2026年９月期　第１四半期決算短信[日本基準]（非連結）,included_earnings_summary
3001,2026-02-13,2025年12月期　決算短信〔日本基準〕（連結）,included_earnings_summary
3010,2026-02-13,2026年3月期 第3四半期決算短信〔日本基準〕(連結),included_earnings_summary
3054,2026-02-13,2025年12月期  決算短信〔日本基準〕（連結）,included_earnings_summary
310A0,2026-02-13,2025年12月期 決算短信〔日本基準〕（連結）,included_earnings_summary
3133,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
3175,2026-02-13,2026年３月期第３四半期決算短信〔日本基準〕(連結),included_earnings_summary
3187,2026-02-13,2026年９月期 第１四半期決算短信〔日本基準〕（非連結）,included_earnings_summary
319A0,2026-02-13,2025年12月期 決算短信〔日本基準〕(連結),included_earnings_summary
320A0,2026-02-13,2026年６月期　中間決算短信〔日本基準〕（非連結）,included_earnings_summary
3284,2026-02-13,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
3306,2026-02-13,2026年３月期 第３四半期決算短信 〔日本基準〕 (非連結),included_earnings_summary
3359,2026-02-13,2026年９月期 第１四半期決算短信〔日本基準〕（連結）,included_earnings_summary
3372,2026-02-13,2026年３月期 第３四半期決算短信〔日本基準〕（連結）,included_earnings_summary
