2026-03-16 10:29:50,002 INFO [sync_financials] === sync_financials START ===
2026-03-16 10:29:50,002 INFO [sync_financials]   mode:       APPLY (本番反映)
2026-03-16 10:29:50,002 INFO [sync_financials]   scope:      FULL (全量)
2026-03-16 10:29:50,003 INFO [sync_financials]   sqlite:     C:\Users\takuy\OneDrive\tdnet-excel-input\data\jquants.db
2026-03-16 10:29:50,003 INFO [sync_financials]   table:      financials
2026-03-16 10:29:50,003 INFO [sync_financials]   limit:      無制限
2026-03-16 10:29:50,003 INFO [sync_financials]   batch-size: 500
2026-03-16 10:29:50,003 INFO [sync_financials]   log:        C:\Users\takuy\OneDrive\tdnet-excel-input\logs\sync_financials_apply_full_20260316_102950.log
2026-03-16 10:29:50,012 INFO [sync_financials] [SQLite] 生データ: 87,157 rows / 3,820 codes
2026-03-16 10:29:50,667 INFO [sync_financials] [SQLite] 重複排除後: 72,490 rows
2026-03-16 10:29:50,673 INFO [sync_financials] [SYNC] quarter 分布: {"1Q": 17819, "2Q": 17771, "3Q": 17832, "4Q": 13, "FY": 19055}
2026-03-16 10:29:50,674 INFO [sync_financials] [SYNC] 開始: 72,490 rows → financials (145 batches × 500)
2026-03-16 10:29:50,985 INFO [sync_financials]   batch 1/145: 500 rows upserted (累計 500 / 72,490, 0.3秒)
2026-03-16 10:29:51,641 INFO [sync_financials]   batch 2/145: 500 rows upserted (累計 1,000 / 72,490, 1.0秒)
2026-03-16 10:29:53,263 INFO [sync_financials]   batch 3/145: 500 rows upserted (累計 1,500 / 72,490, 2.6秒)
2026-03-16 10:29:53,786 INFO [sync_financials]   batch 4/145: 500 rows upserted (累計 2,000 / 72,490, 3.1秒)
2026-03-16 10:29:54,349 INFO [sync_financials]   batch 5/145: 500 rows upserted (累計 2,500 / 72,490, 3.7秒)
2026-03-16 10:29:54,652 INFO [sync_financials]   batch 6/145: 500 rows upserted (累計 3,000 / 72,490, 4.0秒)
2026-03-16 10:29:55,027 INFO [sync_financials]   batch 7/145: 500 rows upserted (累計 3,500 / 72,490, 4.4秒)
2026-03-16 10:29:55,299 INFO [sync_financials]   batch 8/145: 500 rows upserted (累計 4,000 / 72,490, 4.6秒)
2026-03-16 10:29:55,525 INFO [sync_financials]   batch 9/145: 500 rows upserted (累計 4,500 / 72,490, 4.9秒)
2026-03-16 10:29:55,725 INFO [sync_financials]   batch 10/145: 500 rows upserted (累計 5,000 / 72,490, 5.1秒)
2026-03-16 10:29:55,912 INFO [sync_financials]   batch 11/145: 500 rows upserted (累計 5,500 / 72,490, 5.2秒)
