ticker	company	status	fill_applied	fill_type	period	segment_name	sales	profit	unit	source_pdf	review_flag	review_reason
1515	日鉄鉱業	SUCCESS	yes	fill2	previous	鉱石	49027	5936	百万円	1515日鉄鉱業.pdf	yes	period補完=fill2
1515	日鉄鉱業	SUCCESS	yes	fill2	previous	金属	83369	1298	百万円	1515日鉄鉱業.pdf	yes	period補完=fill2
1515	日鉄鉱業	SUCCESS	yes	fill2	previous	機械・環境	12041	1502	百万円	1515日鉄鉱業.pdf	yes	period補完=fill2
1515	日鉄鉱業	SUCCESS	yes	fill2	previous	不動産	2156	1256	百万円	1515日鉄鉱業.pdf	yes	period補完=fill2
1515	日鉄鉱業	SUCCESS	yes	fill2	previous	再生可能エネルギー	1341	407	百万円	1515日鉄鉱業.pdf	yes	period補完=fill2
1515	日鉄鉱業	SUCCESS	yes	fill2	current	鉱石	51585	6758	百万円	1515日鉄鉱業.pdf	yes	period補完=fill2
1515	日鉄鉱業	SUCCESS	yes	fill2	current	金属	83115	3310	百万円	1515日鉄鉱業.pdf	yes	period補完=fill2
1515	日鉄鉱業	SUCCESS	yes	fill2	current	機械・環境	12463	1547	百万円	1515日鉄鉱業.pdf	yes	period補完=fill2
1515	日鉄鉱業	SUCCESS	yes	fill2	current	不動産	4036	2918	百万円	1515日鉄鉱業.pdf	yes	period補完=fill2
1515	日鉄鉱業	SUCCESS	yes	fill2	current	再生可能エネルギー	1424	554	百万円	1515日鉄鉱業.pdf	yes	period補完=fill2
4078	堺化学	SUCCESS	yes	fill1	previous	触媒	2449	163	百万円	4078 堺化学pdf.pdf	yes	period補完=fill1
4078	堺化学	SUCCESS	yes	fill1	previous	無機材料	5237	790	百万円	4078 堺化学pdf.pdf	yes	period補完=fill1
4078	堺化学	SUCCESS	yes	fill1	previous	医療事業	6740	201	百万円	4078 堺化学pdf.pdf	yes	period補完=fill1
4078	堺化学	SUCCESS	yes	fill1	current	触媒	2529	542	百万円	4078 堺化学pdf.pdf	yes	period補完=fill1
4078	堺化学	SUCCESS	yes	fill1	current	無機材料	4680	887	百万円	4078 堺化学pdf.pdf	yes	period補完=fill1
4078	堺化学	SUCCESS	yes	fill1	current	医療事業	6581	161	百万円	4078 堺化学pdf.pdf	yes	period補完=fill1
5803	フジクラ	SUCCESS	yes	fill2	previous	情報通信事業部門	308402	61017	百万円	5803 フジクラ.pdf	yes	period補完=fill2
