TaskName,TaskPath,State,LastRunTime,LastTaskResult,NextRunTime,Triggers,Actions,WorkingDirectory,Arguments,error
EDINET_LargeHolder_Watch,\,Disabled,2026-03-24 08:35:02,0,2026-04-28 08:00:00,MSFT_TaskDailyTrigger:2026-03-19T08:00:00+09:00,C:\Users\takuy\OneDrive\tdnet-excel-input\run_edinet_holder_watch.bat ,{},{},
EDINET_Shareholder_Watch,\,Disabled,2026-03-24 08:36:02,0,2026-04-28 08:07:00,MSFT_TaskDailyTrigger:2026-03-19T08:07:00+09:00,C:\Users\takuy\OneDrive\tdnet-excel-input\run_edinet_shareholder_watch.bat ,C:\Users\takuy\OneDrive\tdnet-excel-input,{},
TDNet Pipeline - Healthcheck,\,Disabled,2026-03-23 22:30:01,0,2026-04-27 20:00:00,MSFT_TaskTimeTrigger:2026-03-23T13:30:00+09:00,"C:\Windows\System32\cmd.exe /c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_healthcheck.bat""",C:\Users\takuy\OneDrive\tdnet-excel-input,"/c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_healthcheck.bat""",
TDNet Pipeline - Ingest,\,Disabled,2026-03-23 22:30:01,0,2026-04-27 20:00:00,MSFT_TaskTimeTrigger:2026-03-12T08:00:00,cmd.exe /c C:\Users\takuy\OneDrive\tdnet-excel-input\run_ingest.bat,C:\Users\takuy\OneDrive\tdnet-excel-input,/c C:\Users\takuy\OneDrive\tdnet-excel-input\run_ingest.bat,
TDNet Pipeline - Notify,\,Disabled,2026-03-23 08:06:01,3221225786,2026-04-28 08:06:00,MSFT_TaskDailyTrigger:2026-03-12T08:06:00+09:00,"C:\Windows\System32\cmd.exe /c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_notify.bat""",C:\Users\takuy\OneDrive\tdnet-excel-input,"/c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_notify.bat""",
TDNet Pipeline - Process,\,Disabled,2026-03-23 22:25:01,1,2026-04-27 20:05:00,MSFT_TaskDailyTrigger:2026-03-12T08:05:00,"C:\Windows\System32\cmd.exe /c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_process.bat""",C:\Users\takuy\OneDrive\tdnet-excel-input,"/c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_process.bat""",
TDNet Pipeline - Rebuild,\,Disabled,2026-03-23 08:04:01,3221225786,2026-04-28 08:04:00,MSFT_TaskDailyTrigger:2026-03-12T08:04:00+09:00,"C:\Windows\System32\cmd.exe /c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_rebuild.bat""",C:\Users\takuy\OneDrive\tdnet-excel-input,"/c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_rebuild.bat""",
TDNet Pipeline - Reconcile,\,Disabled,2026-03-23 07:38:11,0,2026-04-28 02:00:00,MSFT_TaskDailyTrigger:2026-03-11T02:00:00+09:00,"C:\Windows\System32\cmd.exe /c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_reconcile.bat""",C:\Users\takuy\OneDrive\tdnet-excel-input,"/c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_reconcile.bat""",
TDNET_Backfill_Segments_V4,\,Ready,2026-04-27 18:10:01,0,2026-04-28 18:10:00,MSFT_TaskDailyTrigger:2026-04-26T18:10:00+09:00,cmd.exe /c C:\Users\takuy\OneDrive\tdnet-excel-input\run_backfill_segments_v4_recent.bat,C:\Users\takuy\OneDrive\tdnet-excel-input,/c C:\Users\takuy\OneDrive\tdnet-excel-input\run_backfill_segments_v4_recent.bat,
TDNET_MainPipeline,\,Disabled,2026-03-19 15:30:00,2,2026-04-28 15:30:00,MSFT_TaskWeeklyTrigger:2026-03-18T15:30:00,cmd.exe /c C:\Users\takuy\.gemini\antigravity\tdnet-pipeline\run_pipeline.bat --nopause,{},/c C:\Users\takuy\.gemini\antigravity\tdnet-pipeline\run_pipeline.bat --nopause,
TDNET_Nightly,\,Disabled,2026-03-24 19:00:00,0,2026-04-28 19:00:00,MSFT_TaskDailyTrigger:2026-03-24T19:00:00,C:\Users\takuy\OneDrive\tdnet-excel-input\run_nightly.bat ,{},{},
TDNET_Realtime,\,Ready,2026-04-27 18:28:48,2147946720,2026-04-28 08:30:00,MSFT_TaskWeeklyTrigger:2026-03-24T08:30:00,C:\Users\takuy\OneDrive\tdnet-excel-input\run_realtime.bat ,{},{},
TDNET_Reconcile,\,Ready,2026-04-27 18:35:01,0,2026-04-28 18:35:00,MSFT_TaskDailyTrigger:2026-03-24T18:35:00,C:\Users\takuy\OneDrive\tdnet-excel-input\run_reconcile_scheduled.bat ,{},{},
TDNET_Update_All,\,Disabled,2026-03-18 08:30:00,0,2026-04-28 08:30:00,MSFT_TaskWeeklyTrigger:2026-03-03T08:30:00,"C:\Windows\System32\cmd.exe /c ""C:\Users\takuy\OneDrive\�f�X�N�g�b�v\tdnet-excel-input\run_update_all.bat"" --nopause",C:\Users\takuy\OneDrive\�f�X�N�g�b�v\tdnet-excel-input,"/c ""C:\Users\takuy\OneDrive\�f�X�N�g�b�v\tdnet-excel-input\run_update_all.bat"" --nopause",
TDNET_Update_PM,\,Disabled,2026-03-18 15:30:00,0,2026-04-28 15:30:00,MSFT_TaskWeeklyTrigger:2026-03-03T15:30:00,"C:\Windows\System32\cmd.exe /c ""C:\Users\takuy\OneDrive\�f�X�N�g�b�v\tdnet-excel-input\run_update_all.bat"" --nopause",C:\Users\takuy\OneDrive\�f�X�N�g�b�v\tdnet-excel-input,"/c ""C:\Users\takuy\OneDrive\�f�X�N�g�b�v\tdnet-excel-input\run_update_all.bat"" --nopause",
ReconcileConfigs,\Microsoft\Windows\Flighting\FeatureConfig\,Ready,2025-07-11 07:53:02,0,{},MSFT_TaskTrigger:,COM:{15F5ECE1-4550-4A92-8E26-984FD1DA54FA},{},{},
