code,company_name,score_source_path,score_source_version,score_source_sha256,score_source_priority,A_raw,B_raw,M_raw,D_raw,C_raw,score_selection_reason
1418,インターライフホールディングス株式会社,output/pilot_score_1418_2026-07-15.json,explicit_latest_individual,9c2e579071e6b81fd79e765e859117c86d5c310e6c2ec857a6546b63b5448afa,1_explicit_latest_individual,33,57,40,49,61,明示manifestで指定した個別再生成済み採点を優先。更新時刻は使用しない。
198A,ポストプライム,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,16,17,15,45,29,明示された最新個別採点がないため、15社統合採点を使用。
205A,ロゴスホールディングス,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,20,17,18,38,32,明示された最新個別採点がないため、15社統合採点を使用。
2164,地域新聞社,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,16,17,15,38,29,明示された最新個別採点がないため、15社統合採点を使用。
2168,パソナグループ,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,20,17,18,38,32,明示された最新個別採点がないため、15社統合採点を使用。
2337,いちご株式会社,output/pilot_score_2337_2026-07-15.json,explicit_latest_individual,24493feb0eea2429e237d0c05657bb79dcbde9d618e8d13ee291cd0ac9f158ec,1_explicit_latest_individual,47,75,43,53,77,明示manifestで指定した個別再生成済み採点を優先。更新時刻は使用しない。
2449,プラップジャパン,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,20,17,18,31,32,明示された最新個別採点がないため、15社統合採点を使用。
244A,グロースエクスパートナーズ,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,24,17,21,38,35,明示された最新個別採点がないため、15社統合採点を使用。
2484,出前館,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,20,17,18,45,32,明示された最新個別採点がないため、15社統合採点を使用。
280A,TMH,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,20,17,18,45,32,明示された最新個別採点がないため、15社統合採点を使用。
3547,ユニシアホールディングス,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,20,17,18,31,32,明示された最新個別採点がないため、15社統合採点を使用。
3558,ジェイドグループ,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,24,24,21,38,36,明示された最新個別採点がないため、15社統合採点を使用。
3697,SHIFT,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,24,17,21,38,35,明示された最新個別採点がないため、15社統合採点を使用。
4197,アスマーク,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,20,17,18,31,32,明示された最新個別採点がないため、15社統合採点を使用。
9238,バリュークリエーション,output/pilot_scores_15_2026-07-15.csv,integrated_15_batch,74e244aaccd4c1513f2b4f27e2cc0d014ca1478345007133e97727412f8703f6,2_integrated_15_fallback,20,17,18,38,32,明示された最新個別採点がないため、15社統合採点を使用。
