code,company_name,analysis_as_of_jst,disclosed_date_rule,fiscal_year_end,quarter,source_quarter,selection_status,cumulative_sales_million_yen,cumulative_operating_profit_million_yen,cumulative_ordinary_profit_million_yen,cumulative_net_income_million_yen,cumulative_eps,standalone_sales_million_yen,standalone_operating_profit_million_yen,standalone_ordinary_profit_million_yen,standalone_net_income_million_yen,standalone_eps,standalone_operating_margin,q_sales_to_fy_sales,q_operating_profit_to_fy_operating_profit,source_observation_id,source_local_code,source_disclosed_date,source_fetched_at,source_type_of_document,source_raw_json_sha256,source_raw_json_identifiers,filing_id,source_doc_id,canonical_id,lineage_id,correction_flag,quality_reason
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2021-02-28,1Q,1Q,incomplete_year,,,,,,,,,,,,,,,,,,,,,,,,,,missing_sales_or_operating_profit_for_required_cumulative_quarter
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2021-02-28,2Q,2Q,incomplete_year,,,,,,,,,,,,,,,,,,,,,,,,,,missing_sales_or_operating_profit_for_required_cumulative_quarter
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2021-02-28,3Q,3Q,incomplete_year,,,,,,,,,,,,,,,,,,,,,,,,,,missing_sales_or_operating_profit_for_required_cumulative_quarter
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2021-02-28,4Q,FY,incomplete_year,14823.0,183.0,,,,,,,,,,,,467,14180,2021-04-13,2026-03-02 12:46:55,FYFinancialStatements_Consolidated_JP,388c886097997dbf61d4e1135178129ad8dc88bc3defdcc705fd0dac5ad1cba0,"{""local_code"":""14180"",""type_of_document"":""FYFinancialStatements_Consolidated_JP""}",,,,,,missing_sales_or_operating_profit_for_required_cumulative_quarter
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2022-02-28,1Q,1Q,complete_not_latest_three,2719.0,-69.0,,,,2719.0,-69.0,,,,-0.025377,0.230541,-1.533333,468,14180,2021-07-13,2026-03-02 12:46:55,1QFinancialStatements_Consolidated_JP,615f4d92faea1202f632f942b1e01a09773c978195095893eb1cd64f8b09e0d4,"{""local_code"":""14180"",""type_of_document"":""1QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2022-02-28,2Q,2Q,complete_not_latest_three,5620.0,-50.0,,,,2901.0,19.0,,,,0.006549,0.245973,0.422222,469,14180,2021-10-13,2026-03-02 12:46:55,2QFinancialStatements_Consolidated_JP,202cf3529158e38d9e0867de478468a61a9a344cd9a965dc07ac7e74c170c023,"{""local_code"":""14180"",""type_of_document"":""2QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2022-02-28,3Q,3Q,complete_not_latest_three,8072.0,-210.0,,,,2452.0,-160.0,,,,-0.065253,0.207902,-3.555556,471,14180,2022-01-13,2026-03-02 12:46:55,3QFinancialStatements_Consolidated_JP,0967c7f9c4161b341cce8ec81110ddca887ec1b386081ce90ea6c9b93fef8e4b,"{""local_code"":""14180"",""type_of_document"":""3QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2022-02-28,4Q,FY,complete_not_latest_three,11794.0,45.0,,,,3722.0,255.0,,,,0.068512,0.315584,5.666667,473,14180,2022-04-13,2026-03-02 12:46:55,FYFinancialStatements_Consolidated_JP,b3f6038c87372c7394f8bf5e1450edaf8a8f03f5f6fde6515ea4094884870be1,"{""local_code"":""14180"",""type_of_document"":""FYFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2023-02-28,1Q,1Q,complete_not_latest_three,3229.0,135.0,,,,3229.0,135.0,,,,0.041809,0.281763,0.803571,474,14180,2022-07-13,2026-03-02 12:46:55,1QFinancialStatements_Consolidated_JP,53d6ae55f688df2fe912d1b66743f9950e1be46d1eab75aec7cd93eef6bf3221,"{""local_code"":""14180"",""type_of_document"":""1QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2023-02-28,2Q,2Q,complete_not_latest_three,5635.0,62.0,,,,2406.0,-73.0,,,,-0.030341,0.209948,-0.434524,475,14180,2022-10-13,2026-03-02 12:46:55,2QFinancialStatements_Consolidated_JP,75f1a15b91b947b84235d7221205eb115878c6c284948d526308532623a05369,"{""local_code"":""14180"",""type_of_document"":""2QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2023-02-28,3Q,3Q,complete_not_latest_three,7958.0,-35.0,,,,2323.0,-97.0,,,,-0.041756,0.202705,-0.577381,476,14180,2023-01-13,2026-03-02 12:46:55,3QFinancialStatements_Consolidated_JP,63c65d28c382c1ea7a4ba6d0e42837e29427310838d42fc409f96961b2221142,"{""local_code"":""14180"",""type_of_document"":""3QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2023-02-28,4Q,FY,complete_not_latest_three,11460.0,168.0,,,,3502.0,203.0,,,,0.057967,0.305585,1.208333,479,14180,2023-04-13,2026-03-02 12:46:55,FYFinancialStatements_Consolidated_JP,10b25b95ace54b72026214c317368e4c2715fc84ac0d7ce9d8c8001e048090d7,"{""local_code"":""14180"",""type_of_document"":""FYFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2024-02-29,1Q,1Q,selected_for_statistics,2993.0,69.0,,,,2993.0,69.0,,,,0.023054,0.237051,0.255556,480,14180,2023-07-13,2026-03-02 12:46:55,1QFinancialStatements_Consolidated_JP,66f1aff9da357f73d19c8fe7300b5355ee71a96c9028603a7177b8d0ed9dfd0d,"{""local_code"":""14180"",""type_of_document"":""1QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2024-02-29,2Q,2Q,selected_for_statistics,5916.0,138.0,,,,2923.0,69.0,,,,0.023606,0.231506,0.255556,481,14180,2023-10-12,2026-03-02 12:46:55,2QFinancialStatements_Consolidated_JP,131f3d09e79d9cb98e47f9090d47a77d72017b5f93c968134eaf9c4992eae06a,"{""local_code"":""14180"",""type_of_document"":""2QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2024-02-29,3Q,3Q,selected_for_statistics,8902.0,75.0,,,,2986.0,-63.0,,,,-0.021098,0.236496,-0.233333,483,14180,2024-01-12,2026-03-02 12:46:55,3QFinancialStatements_Consolidated_JP,01d97b79d30ba01047083d9bc300b5b84eb1eef05be85a764a53c835a4d4c8f5,"{""local_code"":""14180"",""type_of_document"":""3QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2024-02-29,4Q,FY,selected_for_statistics,12626.0,270.0,,,,3724.0,195.0,,,,0.052363,0.294947,0.722222,484,14180,2024-04-12,2026-03-02 12:46:55,FYFinancialStatements_Consolidated_JP,540de24bbfd0ef21dbe6a560e99b02026251a457aba902799c2f2975d4003e13,"{""local_code"":""14180"",""type_of_document"":""FYFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2025-02-28,1Q,1Q,selected_for_statistics,4257.0,385.0,,,,4257.0,385.0,,,,0.090439,0.251299,0.44,485,14180,2024-07-12,2026-03-02 12:46:55,1QFinancialStatements_Consolidated_JP,6db23757b16cfb8ec1d76b947bdbed56edddf5d829b38d8f2b8ea3142d4b0c5b,"{""local_code"":""14180"",""type_of_document"":""1QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2025-02-28,2Q,2Q,selected_for_statistics,8160.0,448.0,,,,3903.0,63.0,,,,0.016141,0.230401,0.072,487,14180,2024-10-15,2026-03-02 12:46:55,2QFinancialStatements_Consolidated_JP,d7facfb5b462a536bcd72c6343419bf0e9f05d6a7e08ec86216526a7ab137b8c,"{""local_code"":""14180"",""type_of_document"":""2QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2025-02-28,3Q,3Q,selected_for_statistics,13083.0,757.0,,,,4923.0,309.0,,,,0.062767,0.290614,0.353143,488,14180,2025-01-14,2026-03-02 12:46:55,3QFinancialStatements_Consolidated_JP,0b29ca6f1480758e150fb8969b7caafc6d097e62af1980886150cf44625be03a,"{""local_code"":""14180"",""type_of_document"":""3QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2025-02-28,4Q,FY,selected_for_statistics,16940.0,875.0,,,,3857.0,118.0,,,,0.030594,0.227686,0.134857,490,14180,2025-04-14,2026-03-02 12:46:55,FYFinancialStatements_Consolidated_JP,10de4f7b51e760e604cb031b44c54d31e69c0a426ebb1a188ff4acec093fe033,"{""local_code"":""14180"",""type_of_document"":""FYFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2026-02-28,1Q,1Q,selected_for_statistics,4976.0,532.0,,,,4976.0,532.0,,,,0.106913,0.304603,0.456261,491,14180,2025-07-15,2026-06-14T18:00:31.483305+09:00,1QFinancialStatements_Consolidated_JP,da899f40a1c146dae7504aad6e7f4d50ae908981573684a46044f53864451fbf,"{""local_code"":""14180"",""type_of_document"":""1QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2026-02-28,2Q,2Q,selected_for_statistics,8917.0,914.0,,,,3941.0,382.0,,,,0.09693,0.241246,0.327616,492,14180,2025-10-15,2026-06-14T18:02:13.776900+09:00,2QFinancialStatements_Consolidated_JP,ceaf5391ef272b77f205cbbd8f3230e54849e690b65789b341ac50a0ad512084,"{""local_code"":""14180"",""type_of_document"":""2QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2026-02-28,3Q,3Q,selected_for_statistics,12397.0,1062.0,,,,3480.0,148.0,,,,0.042529,0.213026,0.12693,494,14180,2026-01-27,2026-06-14T18:05:00.744954+09:00,3QFinancialStatements_Consolidated_JP,e86d0dd814e1f4c5c3c82e5e3870aec578a120e2d258c4509ed7e9371eed8da9,"{""local_code"":""14180"",""type_of_document"":""3QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
1418,インターライフ,2026-07-15T15:20:00+09:00,< 2026-07-15,2026-02-28,4Q,FY,selected_for_statistics,16336.0,1166.0,,,,3939.0,104.0,,,,0.026403,0.241124,0.089194,87554,14180,2026-04-14,2026-06-14T18:07:38.334262+09:00,FYFinancialStatements_Consolidated_JP,4ce39703f6f188e38d5eb287e0c313ebd7f4176f2acb5261a890959bd4ed1c80,"{""local_code"":""14180"",""type_of_document"":""FYFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
205A,ロゴスHD,2026-07-15T15:20:00+09:00,< 2026-07-15,2024-05-31,1Q,1Q,incomplete_year,,,,,,,,,,,,,,,,,,,,,,,,,,missing_sales_or_operating_profit_for_required_cumulative_quarter
205A,ロゴスHD,2026-07-15T15:20:00+09:00,< 2026-07-15,2024-05-31,2Q,2Q,incomplete_year,,,,,,,,,,,,,,,,,,,,,,,,,,missing_sales_or_operating_profit_for_required_cumulative_quarter
205A,ロゴスHD,2026-07-15T15:20:00+09:00,< 2026-07-15,2024-05-31,3Q,3Q,incomplete_year,,,,,,,,,,,,,,,,,,,,,,,,,,missing_sales_or_operating_profit_for_required_cumulative_quarter
205A,ロゴスHD,2026-07-15T15:20:00+09:00,< 2026-07-15,2024-05-31,4Q,FY,incomplete_year,31714.0,1391.0,,,,,,,,,,,,4447,205A0,2024-07-12,2026-03-02 12:04:13,FYFinancialStatements_Consolidated_JP,fe3e392f9130d7f3fc98ec1f8d2392351ebe4dc2efca1043c65bc1b89b926610,"{""local_code"":""205A0"",""type_of_document"":""FYFinancialStatements_Consolidated_JP""}",,,,,,missing_sales_or_operating_profit_for_required_cumulative_quarter
205A,ロゴスHD,2026-07-15T15:20:00+09:00,< 2026-07-15,2025-05-31,1Q,1Q,selected_for_statistics,2890.0,-776.0,,,,2890.0,-776.0,,,,-0.268512,0.079682,-1.593429,4448,205A0,2024-10-15,2026-03-02 12:04:13,1QFinancialStatements_Consolidated_JP,e8df567ec32be71450774c10b8df947c34a52f91e20c1ffb664d619a2bbbac8a,"{""local_code"":""205A0"",""type_of_document"":""1QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
205A,ロゴスHD,2026-07-15T15:20:00+09:00,< 2026-07-15,2025-05-31,2Q,2Q,selected_for_statistics,12854.0,-583.0,,,,9964.0,193.0,,,,0.01937,0.274725,0.396304,4449,205A0,2025-01-14,2026-03-02 12:04:13,2QFinancialStatements_Consolidated_JP,57266edcbf9b53b6016f9e909e0a201e2a24d22585504a81498d77410d6c98ec,"{""local_code"":""205A0"",""type_of_document"":""2QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
205A,ロゴスHD,2026-07-15T15:20:00+09:00,< 2026-07-15,2025-05-31,3Q,3Q,selected_for_statistics,20517.0,-511.0,,,,7663.0,72.0,,,,0.009396,0.211282,0.147844,4450,205A0,2025-04-14,2026-03-02 12:04:13,3QFinancialStatements_Consolidated_JP,691b7d390b92d5282774fff06faf1820c7bab3c3a19c10d5b78544b5b37f5c93,"{""local_code"":""205A0"",""type_of_document"":""3QFinancialStatements_Consolidated_JP""}",,,,,,complete_cumulative_pl
