code,company_name,analysis_as_of_jst,disclosed_date_rule,jquants_code_normalization,available_complete_fiscal_years,selected_fiscal_year_ends,sales_pattern,operating_profit_pattern,quarterly_predictability_gate,sales_pattern_basis_json,operating_profit_pattern_basis_json,sales_vs_profit_state,source_table,ordinary_profit_status,net_income_status,eps_status
1418,インターライフ,2026-07-15T15:20:00+09:00,disclosed_date < 2026-07-15,src.common_ticker.normalize_ticker,5,2024-02-29;2025-02-28;2026-02-28,lumpy,structural_change,low,"{""q_share_stats"":{""1Q"":{""mean"":0.264318,""max"":0.304603,""min"":0.237051,""stddev"":0.029074},""2Q"":{""mean"":0.234385,""max"":0.241246,""min"":0.230401,""stddev"":0.004873},""3Q"":{""mean"":0.246712,""max"":0.290614,""min"":0.213026,""stddev"":0.032488},""4Q"":{""mean"":0.254586,""max"":0.294947,""min"":0.227686,""stddev"":0.029062}},""max_sales_q_by_year"":[""4Q"",""3Q"",""1Q""],""max_sales_q_match_count"":1,""max_q_concentration_by_year"":[0.294947,0.290614,0.304603],""max_q_concentration_avg"":0.296721,""mean_q_share_stddev"":0.023874}","{""q_margin_stats"":{""1Q"":{""mean"":0.073469,""max"":0.106913,""min"":0.023054,""stddev"":0.036278},""2Q"":{""mean"":0.045559,""max"":0.09693,""min"":0.016141,""stddev"":0.036452},""3Q"":{""mean"":0.028066,""max"":0.062767,""min"":-0.021098,""stddev"":0.035733},""4Q"":{""mean"":0.036453,""max"":0.052363,""min"":0.026403,""stddev"":0.011379}},""max_operating_profit_q_by_year"":[""4Q"",""1Q"",""1Q""],""max_operating_profit_q_match_count"":2,""profit_sign_reversal_count"":1,""annual_operating_profit_by_year"":[270.0,875.0,1166.0],""max_absolute_q_op_concentration_by_year"":[0.492424,0.44,0.456261],""mean_q_margin_stddev"":0.02996}",both_unstable,jquants_financials_normalized,not_available_in_source_table,not_available_in_source_table,not_available_in_source_table
205A,ロゴスHD,2026-07-15T15:20:00+09:00,disclosed_date < 2026-07-15,src.common_ticker.normalize_ticker,1,2025-05-31,limited_history,limited_history,insufficient,"{""reason"":""fewer_than_three_complete_fiscal_years""}","{""reason"":""fewer_than_three_complete_fiscal_years""}",other,jquants_financials_normalized,not_available_in_source_table,not_available_in_source_table,not_available_in_source_table
3547,ユニシアHD,2026-07-15T15:20:00+09:00,disclosed_date < 2026-07-15,src.common_ticker.normalize_ticker,5,2023-11-30;2024-11-30;2025-11-30,lumpy,lumpy,low,"{""q_share_stats"":{""1Q"":{""mean"":0.226806,""max"":0.236782,""min"":0.217059,""stddev"":0.008053},""2Q"":{""mean"":0.25365,""max"":0.271253,""min"":0.239341,""stddev"":0.013235},""3Q"":{""mean"":0.2554,""max"":0.258457,""min"":0.252999,""stddev"":0.002276},""4Q"":{""mean"":0.264144,""max"":0.268323,""min"":0.258689,""stddev"":0.004036}},""max_sales_q_by_year"":[""4Q"",""4Q"",""2Q""],""max_sales_q_match_count"":2,""max_q_concentration_by_year"":[0.265421,0.268323,0.271253],""max_q_concentration_avg"":0.268332,""mean_q_share_stddev"":0.0069}","{""q_margin_stats"":{""1Q"":{""mean"":0.058015,""max"":0.062549,""min"":0.054172,""stddev"":0.003455},""2Q"":{""mean"":0.055234,""max"":0.074812,""min"":0.040677,""stddev"":0.014381},""3Q"":{""mean"":0.062448,""max"":0.066717,""min"":0.056564,""stddev"":0.004299},""4Q"":{""mean"":0.038646,""max"":0.054083,""min"":0.028043,""stddev"":0.011167}},""max_operating_profit_q_by_year"":[""3Q"",""3Q"",""2Q""],""max_operating_profit_q_match_count"":2,""profit_sign_reversal_count"":0,""annual_operating_profit_by_year"":[763.0,847.0,1185.0],""max_absolute_q_op_concentration_by_year"":[0.305374,0.286895,0.361181],""mean_q_margin_stddev"":0.008325}",both_unstable,jquants_financials_normalized,not_available_in_source_table,not_available_in_source_table,not_available_in_source_table
3558,ジェイドグループ,2026-07-15T15:20:00+09:00,disclosed_date < 2026-07-15,src.common_ticker.normalize_ticker,5,2024-02-29;2025-02-28;2026-02-28,lumpy,lumpy,low,"{""q_share_stats"":{""1Q"":{""mean"":0.244754,""max"":0.256289,""min"":0.233939,""stddev"":0.009139},""2Q"":{""mean"":0.237261,""max"":0.250533,""min"":0.224577,""stddev"":0.010605},""3Q"":{""mean"":0.249022,""max"":0.273285,""min"":0.227303,""stddev"":0.018858},""4Q"":{""mean"":0.268964,""max"":0.314181,""min"":0.233753,""stddev"":0.033589}},""max_sales_q_by_year"":[""3Q"",""4Q"",""4Q""],""max_sales_q_match_count"":2,""max_q_concentration_by_year"":[0.273285,0.258957,0.314181],""max_q_concentration_avg"":0.282141,""mean_q_share_stddev"":0.018048}","{""q_margin_stats"":{""1Q"":{""mean"":0.12745,""max"":0.157172,""min"":0.102706,""stddev"":0.022513},""2Q"":{""mean"":0.064071,""max"":0.103527,""min"":0.006434,""stddev"":0.041671},""3Q"":{""mean"":0.142016,""max"":0.211507,""min"":0.10568,""stddev"":0.049155},""4Q"":{""mean"":0.096737,""max"":0.151768,""min"":0.036835,""stddev"":0.047047}},""max_operating_profit_q_by_year"":[""3Q"",""3Q"",""4Q""],""max_operating_profit_q_match_count"":2,""profit_sign_reversal_count"":0,""annual_operating_profit_by_year"":[1685.0,1535.0,2403.0],""max_absolute_q_op_concentration_by_year"":[0.45816,0.336156,0.385768],""mean_q_margin_stddev"":0.040096}",both_unstable,jquants_financials_normalized,not_available_in_source_table,not_available_in_source_table,not_available_in_source_table
3697,SHIFT,2026-07-15T15:20:00+09:00,disclosed_date < 2026-07-15,src.common_ticker.normalize_ticker,4,2023-08-31;2024-08-31;2025-08-31,stable,lumpy,medium,"{""q_share_stats"":{""1Q"":{""mean"":0.226311,""max"":0.232431,""min"":0.219857,""stddev"":0.005139},""2Q"":{""mean"":0.242448,""max"":0.246161,""min"":0.23843,""stddev"":0.003163},""3Q"":{""mean"":0.260622,""max"":0.261411,""min"":0.259777,""stddev"":0.000668},""4Q"":{""mean"":0.270619,""max"":0.280302,""min"":0.265038,""stddev"":0.006873}},""max_sales_q_by_year"":[""4Q"",""4Q"",""4Q""],""max_sales_q_match_count"":3,""max_q_concentration_by_year"":[0.280302,0.266517,0.265038],""max_q_concentration_avg"":0.270619,""mean_q_share_stddev"":0.003961}","{""q_margin_stats"":{""1Q"":{""mean"":0.094121,""max"":0.116557,""min"":0.072389,""stddev"":0.018039},""2Q"":{""mean"":0.135157,""max"":0.155986,""min"":0.105391,""stddev"":0.021601},""3Q"":{""mean"":0.111149,""max"":0.136885,""min"":0.082461,""stddev"":0.022317},""4Q"":{""mean"":0.120359,""max"":0.135076,""min"":0.108176,""stddev"":0.011127}},""max_operating_profit_q_by_year"":[""4Q"",""4Q"",""2Q""],""max_operating_profit_q_match_count"":2,""profit_sign_reversal_count"":0,""annual_operating_profit_by_year"":[11565.0,10537.0,15628.0],""max_absolute_q_op_concentration_by_year"":[0.288197,0.329695,0.290568],""mean_q_margin_stddev"":0.018271}",sales_stable_profit_unstable,jquants_financials_normalized,not_available_in_source_table,not_available_in_source_table,not_available_in_source_table
2164,地域新聞社,2026-07-15T15:20:00+09:00,disclosed_date < 2026-07-15,src.common_ticker.normalize_ticker,4,2023-08-31;2024-08-31;2025-08-31,lumpy,highly_lumpy,low,"{""q_share_stats"":{""1Q"":{""mean"":0.250439,""max"":0.253275,""min"":0.24812,""stddev"":0.002136},""2Q"":{""mean"":0.244363,""max"":0.251931,""min"":0.234063,""stddev"":0.007546},""3Q"":{""mean"":0.265299,""max"":0.269993,""min"":0.25785,""stddev"":0.005327},""4Q"":{""mean"":0.239899,""max"":0.258167,""min"":0.226738,""stddev"":0.013329}},""max_sales_q_by_year"":[""3Q"",""3Q"",""4Q""],""max_sales_q_match_count"":2,""max_q_concentration_by_year"":[0.269993,0.268055,0.258167],""max_q_concentration_avg"":0.265405,""mean_q_share_stddev"":0.007085}","{""q_margin_stats"":{""1Q"":{""mean"":0.004449,""max"":0.015915,""min"":-0.016529,""stddev"":0.014855},""2Q"":{""mean"":-0.000317,""max"":0.024,""min"":-0.027663,""stddev"":0.0212},""3Q"":{""mean"":0.027072,""max"":0.041353,""min"":0.017722,""stddev"":0.010259},""4Q"":{""mean"":-0.009558,""max"":0.017199,""min"":-0.042963,""stddev"":0.025007}},""max_operating_profit_q_by_year"":[""3Q"",""3Q"",""3Q""],""max_operating_profit_q_match_count"":3,""profit_sign_reversal_count"":3,""annual_operating_profit_by_year"":[-20.0,34.0,45.0],""max_absolute_q_op_concentration_by_year"":[0.416667,0.358696,0.4],""mean_q_margin_stddev"":0.01783}",both_unstable,jquants_financials_normalized,not_available_in_source_table,not_available_in_source_table,not_available_in_source_table
2168,パソナグループ,2026-07-15T15:20:00+09:00,disclosed_date < 2026-07-15,src.common_ticker.normalize_ticker,4,2023-05-31;2024-05-31;2025-05-31,stable,structural_change,medium,"{""q_share_stats"":{""1Q"":{""mean"":0.248623,""max"":0.251956,""min"":0.246808,""stddev"":0.00236},""2Q"":{""mean"":0.249452,""max"":0.250973,""min"":0.246678,""stddev"":0.001965},""3Q"":{""mean"":0.244882,""max"":0.250435,""min"":0.241755,""stddev"":0.003937},""4Q"":{""mean"":0.257043,""max"":0.259763,""min"":0.255583,""stddev"":0.001925}},""max_sales_q_by_year"":[""4Q"",""4Q"",""4Q""],""max_sales_q_match_count"":3,""max_q_concentration_by_year"":[0.255782,0.255583,0.259763],""max_q_concentration_avg"":0.257043,""mean_q_share_stddev"":0.002547}","{""q_margin_stats"":{""1Q"":{""mean"":0.018415,""max"":0.03617,""min"":-0.005713,""stddev"":0.017682},""2Q"":{""mean"":0.020934,""max"":0.037027,""min"":0.006185,""stddev"":0.012627},""3Q"":{""mean"":0.010839,""max"":0.04213,""min"":-0.017659,""stddev"":0.024488},""4Q"":{""mean"":0.020916,""max"":0.038962,""min"":0.000535,""stddev"":0.015774}},""max_operating_profit_q_by_year"":[""3Q"",""1Q"",""2Q""],""max_operating_profit_q_match_count"":1,""profit_sign_reversal_count"":2,""annual_operating_profit_by_year"":[14377.0,6794.0,-1237.0],""max_absolute_q_op_concentration_by_year"":[0.273423,0.327936,0.579939],""mean_q_margin_stddev"":0.017643}",sales_stable_profit_unstable,jquants_financials_normalized,not_available_in_source_table,not_available_in_source_table,not_available_in_source_table
2449,プラップジャパン,2026-07-15T15:20:00+09:00,disclosed_date < 2026-07-15,src.common_ticker.normalize_ticker,4,2023-08-31;2024-08-31;2025-08-31,lumpy,lumpy,low,"{""q_share_stats"":{""1Q"":{""mean"":0.223385,""max"":0.24205,""min"":0.213725,""stddev"":0.013201},""2Q"":{""mean"":0.27326,""max"":0.276979,""min"":0.26895,""stddev"":0.003304},""3Q"":{""mean"":0.238581,""max"":0.240378,""min"":0.236329,""stddev"":0.001684},""4Q"":{""mean"":0.264775,""max"":0.280996,""min"":0.245064,""stddev"":0.014875}},""max_sales_q_by_year"":[""2Q"",""2Q"",""4Q""],""max_sales_q_match_count"":2,""max_q_concentration_by_year"":[0.273851,0.276979,0.280996],""max_q_concentration_avg"":0.277275,""mean_q_share_stddev"":0.008266}","{""q_margin_stats"":{""1Q"":{""mean"":0.081014,""max"":0.10523,""min"":0.063965,""stddev"":0.017592},""2Q"":{""mean"":0.097798,""max"":0.119978,""min"":0.069743,""stddev"":0.020925},""3Q"":{""mean"":0.117322,""max"":0.132409,""min"":0.102719,""stddev"":0.012126},""4Q"":{""mean"":0.089378,""max"":0.099711,""min"":0.081796,""stddev"":0.007568}},""max_operating_profit_q_by_year"":[""2Q"",""3Q"",""4Q""],""max_operating_profit_q_match_count"":1,""profit_sign_reversal_count"":0,""annual_operating_profit_by_year"":[730.0,572.0,718.0],""max_absolute_q_op_concentration_by_year"":[0.29863,0.297203,0.288301],""mean_q_margin_stddev"":0.014553}",both_unstable,jquants_financials_normalized,not_available_in_source_table,not_available_in_source_table,not_available_in_source_table
4197,アスマーク,2026-07-15T15:20:00+09:00,disclosed_date < 2026-07-15,src.common_ticker.normalize_ticker,2,2024-11-30;2025-11-30,limited_history,limited_history,insufficient,"{""reason"":""fewer_than_three_complete_fiscal_years""}","{""reason"":""fewer_than_three_complete_fiscal_years""}",other,jquants_financials_normalized,not_available_in_source_table,not_available_in_source_table,not_available_in_source_table
9238,バリュークリエーション,2026-07-15T15:20:00+09:00,disclosed_date < 2026-07-15,src.common_ticker.normalize_ticker,2,2025-02-28;2026-02-28,limited_history,limited_history,insufficient,"{""reason"":""fewer_than_three_complete_fiscal_years""}","{""reason"":""fewer_than_three_complete_fiscal_years""}",other,jquants_financials_normalized,not_available_in_source_table,not_available_in_source_table,not_available_in_source_table
