code,company_name,source_history_file,source_history_sha256,available_complete_fiscal_years,selected_fiscal_year_ends,sales_pattern_v2,sales_pattern_v3,operating_profit_pattern_v2,operating_profit_pattern_v3,quarterly_predictability_gate_v2,quarterly_predictability_gate_v3,sales_vs_profit_state_v3,sales_metrics_json,operating_profit_metrics_json,classification_rule_version
1418,インターライフ,quarterly_history_15_jquants_asof_v2.csv,931bcac10965ddf89b69484179bc4299dbde0de4b64736d641ab0b5b60439d22,3,2024-02-29;2025-02-28;2026-02-28,lumpy,lumpy,structural_change,structural_change,low,low,both_unstable,"{""q_share_stats"":{""1Q"":{""mean"":0.264318,""max"":0.304603,""min"":0.237051,""stddev"":0.029074,""max_change"":0.067552},""2Q"":{""mean"":0.234384,""max"":0.241246,""min"":0.230401,""stddev"":0.004873,""max_change"":0.010845},""3Q"":{""mean"":0.246712,""max"":0.290614,""min"":0.213026,""stddev"":0.032488,""max_change"":0.077588},""4Q"":{""mean"":0.254586,""max"":0.294947,""min"":0.227686,""stddev"":0.029062,""max_change"":0.067261}},""largest_q_by_year"":[""4Q"",""3Q"",""1Q""],""largest_q_share_by_year"":[0.294947,0.290614,0.304603],""second_largest_q_share_by_year"":[0.237051,0.251299,0.241246],""top_q_gap_by_year"":[0.057896,0.039315,0.063357],""largest_q_concentration_range"":0.013989,""mean_q_share_stddev"":0.023874,""max_q_share_change"":0.077588,""largest_q_mode_count"":1}","{""q_margin_stats"":{""1Q"":{""mean"":0.073469,""max"":0.106913,""min"":0.023054,""stddev"":0.036277,""max_change"":0.083859},""2Q"":{""mean"":0.045559,""max"":0.09693,""min"":0.016141,""stddev"":0.036452,""max_change"":0.080789},""3Q"":{""mean"":0.028066,""max"":0.062767,""min"":-0.021098,""stddev"":0.035733,""max_change"":0.083865},""4Q"":{""mean"":0.036453,""max"":0.052363,""min"":0.026403,""stddev"":0.011379,""max_change"":0.02596}},""mean_q_margin_stddev"":0.02996,""max_q_margin_change"":0.083865,""max_operating_profit_q_by_year"":[""4Q"",""1Q"",""1Q""],""second_operating_profit_q_by_year"":[""1Q"",""3Q"",""2Q""],""top_operating_profit_gap_million_yen_by_year"":[126.0,76.0,150.0],""profit_sign_reversal_count"":1,""annual_operating_profit_by_year"":[270.0,875.0,1166.0],""annual_op_negative_or_near_zero"":[false,false,false],""improving_loss_trend"":false}",v3_top_q_gap_and_margin_stability
205A,ロゴスHD,quarterly_history_15_jquants_asof_v2.csv,931bcac10965ddf89b69484179bc4299dbde0de4b64736d641ab0b5b60439d22,1,2025-05-31,limited_history,limited_history,limited_history,limited_history,insufficient,insufficient,limited_history,"{""reason"":""fewer_than_three_complete_years""}","{""reason"":""fewer_than_three_complete_years""}",v3_top_q_gap_and_margin_stability
3547,ユニシアHD,quarterly_history_15_jquants_asof_v2.csv,931bcac10965ddf89b69484179bc4299dbde0de4b64736d641ab0b5b60439d22,3,2023-11-30;2024-11-30;2025-11-30,lumpy,stable,lumpy,stable,low,high,sales_stable_profit_stable,"{""q_share_stats"":{""1Q"":{""mean"":0.226806,""max"":0.236782,""min"":0.217059,""stddev"":0.008054,""max_change"":0.019723},""2Q"":{""mean"":0.25365,""max"":0.271253,""min"":0.239341,""stddev"":0.013235,""max_change"":0.031912},""3Q"":{""mean"":0.2554,""max"":0.258457,""min"":0.252999,""stddev"":0.002276,""max_change"":0.005458},""4Q"":{""mean"":0.264144,""max"":0.268323,""min"":0.258689,""stddev"":0.004035,""max_change"":0.009634}},""largest_q_by_year"":[""4Q"",""4Q"",""2Q""],""largest_q_share_by_year"":[0.265421,0.268323,0.271253],""second_largest_q_share_by_year"":[0.258457,0.254744,0.258689],""top_q_gap_by_year"":[0.006964,0.013579,0.012564],""largest_q_concentration_range"":0.005832,""mean_q_share_stddev"":0.0069,""max_q_share_change"":0.031912,""largest_q_mode_count"":2}","{""q_margin_stats"":{""1Q"":{""mean"":0.058015,""max"":0.062549,""min"":0.054172,""stddev"":0.003455,""max_change"":0.008377},""2Q"":{""mean"":0.055234,""max"":0.074812,""min"":0.040677,""stddev"":0.014381,""max_change"":0.034135},""3Q"":{""mean"":0.062448,""max"":0.066717,""min"":0.056564,""stddev"":0.0043,""max_change"":0.010153},""4Q"":{""mean"":0.038646,""max"":0.054083,""min"":0.028043,""stddev"":0.011167,""max_change"":0.02604}},""mean_q_margin_stddev"":0.008326,""max_q_margin_change"":0.034135,""max_operating_profit_q_by_year"":[""3Q"",""3Q"",""2Q""],""second_operating_profit_q_by_year"":[""4Q"",""1Q"",""3Q""],""top_operating_profit_gap_million_yen_by_year"":[31.0,4.0,72.0],""profit_sign_reversal_count"":0,""annual_operating_profit_by_year"":[763.0,847.0,1185.0],""annual_op_negative_or_near_zero"":[false,false,false],""improving_loss_trend"":false}",v3_top_q_gap_and_margin_stability
3558,ジェイドグループ,quarterly_history_15_jquants_asof_v2.csv,931bcac10965ddf89b69484179bc4299dbde0de4b64736d641ab0b5b60439d22,3,2024-02-29;2025-02-28;2026-02-28,lumpy,stable,lumpy,highly_lumpy,low,low,sales_stable_profit_unstable,"{""q_share_stats"":{""1Q"":{""mean"":0.244754,""max"":0.256289,""min"":0.233939,""stddev"":0.009139,""max_change"":0.02235},""2Q"":{""mean"":0.237261,""max"":0.250533,""min"":0.224577,""stddev"":0.010605,""max_change"":0.025956},""3Q"":{""mean"":0.249022,""max"":0.273285,""min"":0.227303,""stddev"":0.018858,""max_change"":0.045982},""4Q"":{""mean"":0.268964,""max"":0.314181,""min"":0.233753,""stddev"":0.033588,""max_change"":0.080428}},""largest_q_by_year"":[""3Q"",""4Q"",""4Q""],""largest_q_share_by_year"":[0.273285,0.258957,0.314181],""second_largest_q_share_by_year"":[0.256289,0.250533,0.233939],""top_q_gap_by_year"":[0.016996,0.008424,0.080242],""largest_q_concentration_range"":0.055224,""mean_q_share_stddev"":0.018048,""max_q_share_change"":0.080428,""largest_q_mode_count"":2}","{""q_margin_stats"":{""1Q"":{""mean"":0.12745,""max"":0.157172,""min"":0.102706,""stddev"":0.022513,""max_change"":0.054466},""2Q"":{""mean"":0.064071,""max"":0.103527,""min"":0.006434,""stddev"":0.041671,""max_change"":0.097093},""3Q"":{""mean"":0.142016,""max"":0.211507,""min"":0.10568,""stddev"":0.049155,""max_change"":0.105827},""4Q"":{""mean"":0.096736,""max"":0.151768,""min"":0.036835,""stddev"":0.047047,""max_change"":0.114933}},""mean_q_margin_stddev"":0.040097,""max_q_margin_change"":0.114933,""max_operating_profit_q_by_year"":[""3Q"",""3Q"",""4Q""],""second_operating_profit_q_by_year"":[""1Q"",""4Q"",""1Q""],""top_operating_profit_gap_million_yen_by_year"":[234.0,10.0,370.0],""profit_sign_reversal_count"":0,""annual_operating_profit_by_year"":[1685.0,1535.0,2403.0],""annual_op_negative_or_near_zero"":[false,false,false],""improving_loss_trend"":false}",v3_top_q_gap_and_margin_stability
3697,SHIFT,quarterly_history_15_jquants_asof_v2.csv,931bcac10965ddf89b69484179bc4299dbde0de4b64736d641ab0b5b60439d22,3,2023-08-31;2024-08-31;2025-08-31,stable,stable,lumpy,stable,medium,high,sales_stable_profit_stable,"{""q_share_stats"":{""1Q"":{""mean"":0.226311,""max"":0.232431,""min"":0.219857,""stddev"":0.005139,""max_change"":0.012574},""2Q"":{""mean"":0.242448,""max"":0.246161,""min"":0.23843,""stddev"":0.003164,""max_change"":0.007731},""3Q"":{""mean"":0.260622,""max"":0.261411,""min"":0.259777,""stddev"":0.000668,""max_change"":0.001634},""4Q"":{""mean"":0.270619,""max"":0.280302,""min"":0.265038,""stddev"":0.006873,""max_change"":0.015264}},""largest_q_by_year"":[""4Q"",""4Q"",""4Q""],""largest_q_share_by_year"":[0.280302,0.266517,0.265038],""second_largest_q_share_by_year"":[0.261411,0.260678,0.259777],""top_q_gap_by_year"":[0.018891,0.005839,0.005261],""largest_q_concentration_range"":0.015264,""mean_q_share_stddev"":0.003961,""max_q_share_change"":0.015264,""largest_q_mode_count"":3}","{""q_margin_stats"":{""1Q"":{""mean"":0.094121,""max"":0.116557,""min"":0.072389,""stddev"":0.018038,""max_change"":0.044168},""2Q"":{""mean"":0.135157,""max"":0.155986,""min"":0.105391,""stddev"":0.021601,""max_change"":0.050595},""3Q"":{""mean"":0.11115,""max"":0.136885,""min"":0.082461,""stddev"":0.022316,""max_change"":0.054424},""4Q"":{""mean"":0.12036,""max"":0.135076,""min"":0.108176,""stddev"":0.011127,""max_change"":0.0269}},""mean_q_margin_stddev"":0.01827,""max_q_margin_change"":0.054424,""max_operating_profit_q_by_year"":[""4Q"",""4Q"",""2Q""],""second_operating_profit_q_by_year"":[""2Q"",""2Q"",""3Q""],""top_operating_profit_gap_million_yen_by_year"":[59.0,604.0,693.0],""profit_sign_reversal_count"":0,""annual_operating_profit_by_year"":[11565.0,10537.0,15628.0],""annual_op_negative_or_near_zero"":[false,false,false],""improving_loss_trend"":false}",v3_top_q_gap_and_margin_stability
2164,地域新聞社,quarterly_history_15_jquants_asof_v2.csv,931bcac10965ddf89b69484179bc4299dbde0de4b64736d641ab0b5b60439d22,3,2023-08-31;2024-08-31;2025-08-31,lumpy,stable,highly_lumpy,structural_change,low,medium,sales_stable_profit_unstable,"{""q_share_stats"":{""1Q"":{""mean"":0.250439,""max"":0.253275,""min"":0.24812,""stddev"":0.002136,""max_change"":0.005155},""2Q"":{""mean"":0.244363,""max"":0.251931,""min"":0.234063,""stddev"":0.007546,""max_change"":0.017868},""3Q"":{""mean"":0.265299,""max"":0.269993,""min"":0.25785,""stddev"":0.005327,""max_change"":0.012143},""4Q"":{""mean"":0.239899,""max"":0.258167,""min"":0.226738,""stddev"":0.013329,""max_change"":0.031429}},""largest_q_by_year"":[""3Q"",""3Q"",""4Q""],""largest_q_share_by_year"":[0.269993,0.268055,0.258167],""second_largest_q_share_by_year"":[0.24812,0.253275,0.25785],""top_q_gap_by_year"":[0.021873,0.01478,0.000317],""largest_q_concentration_range"":0.011826,""mean_q_share_stddev"":0.007085,""max_q_share_change"":0.031429,""largest_q_mode_count"":2}","{""q_margin_stats"":{""1Q"":{""mean"":0.004448,""max"":0.015915,""min"":-0.016529,""stddev"":0.014855,""max_change"":0.032444},""2Q"":{""mean"":-0.000318,""max"":0.024,""min"":-0.027663,""stddev"":0.0212,""max_change"":0.051663},""3Q"":{""mean"":0.027072,""max"":0.041353,""min"":0.017722,""stddev"":0.010258,""max_change"":0.023631},""4Q"":{""mean"":-0.009558,""max"":0.017199,""min"":-0.042963,""stddev"":0.025007,""max_change"":0.060162}},""mean_q_margin_stddev"":0.01783,""max_q_margin_change"":0.060162,""max_operating_profit_q_by_year"":[""3Q"",""3Q"",""3Q""],""second_operating_profit_q_by_year"":[""4Q"",""2Q"",""4Q""],""top_operating_profit_gap_million_yen_by_year"":[16.0,15.0,4.0],""profit_sign_reversal_count"":3,""annual_operating_profit_by_year"":[-20.0,34.0,45.0],""annual_op_negative_or_near_zero"":[true,false,false],""improving_loss_trend"":false}",v3_top_q_gap_and_margin_stability
2168,パソナグループ,quarterly_history_15_jquants_asof_v2.csv,931bcac10965ddf89b69484179bc4299dbde0de4b64736d641ab0b5b60439d22,3,2023-05-31;2024-05-31;2025-05-31,stable,stable,structural_change,structural_change,medium,medium,sales_stable_profit_unstable,"{""q_share_stats"":{""1Q"":{""mean"":0.248623,""max"":0.251956,""min"":0.246808,""stddev"":0.00236,""max_change"":0.005148},""2Q"":{""mean"":0.249452,""max"":0.250973,""min"":0.246678,""stddev"":0.001965,""max_change"":0.004295},""3Q"":{""mean"":0.244882,""max"":0.250435,""min"":0.241755,""stddev"":0.003937,""max_change"":0.00868},""4Q"":{""mean"":0.257043,""max"":0.259763,""min"":0.255583,""stddev"":0.001925,""max_change"":0.00418}},""largest_q_by_year"":[""4Q"",""4Q"",""4Q""],""largest_q_share_by_year"":[0.255782,0.255583,0.259763],""second_largest_q_share_by_year"":[0.250435,0.251956,0.250973],""top_q_gap_by_year"":[0.005347,0.003627,0.00879],""largest_q_concentration_range"":0.00418,""mean_q_share_stddev"":0.002547,""max_q_share_change"":0.00868,""largest_q_mode_count"":3}","{""q_margin_stats"":{""1Q"":{""mean"":0.018415,""max"":0.03617,""min"":-0.005713,""stddev"":0.017683,""max_change"":0.041883},""2Q"":{""mean"":0.020934,""max"":0.037027,""min"":0.006185,""stddev"":0.012627,""max_change"":0.030842},""3Q"":{""mean"":0.010839,""max"":0.04213,""min"":-0.017659,""stddev"":0.024488,""max_change"":0.059789},""4Q"":{""mean"":0.020916,""max"":0.038962,""min"":0.000535,""stddev"":0.015774,""max_change"":0.038427}},""mean_q_margin_stddev"":0.017643,""max_q_margin_change"":0.059789,""max_operating_profit_q_by_year"":[""3Q"",""1Q"",""2Q""],""second_operating_profit_q_by_year"":[""4Q"",""4Q"",""4Q""],""top_operating_profit_gap_million_yen_by_year"":[218.0,108.0,437.0],""profit_sign_reversal_count"":2,""annual_operating_profit_by_year"":[14377.0,6794.0,-1237.0],""annual_op_negative_or_near_zero"":[false,false,true],""improving_loss_trend"":false}",v3_top_q_gap_and_margin_stability
2449,プラップジャパン,quarterly_history_15_jquants_asof_v2.csv,931bcac10965ddf89b69484179bc4299dbde0de4b64736d641ab0b5b60439d22,3,2023-08-31;2024-08-31;2025-08-31,lumpy,stable,lumpy,stable,low,high,sales_stable_profit_stable,"{""q_share_stats"":{""1Q"":{""mean"":0.223385,""max"":0.24205,""min"":0.213725,""stddev"":0.013201,""max_change"":0.028325},""2Q"":{""mean"":0.27326,""max"":0.276979,""min"":0.26895,""stddev"":0.003304,""max_change"":0.008029},""3Q"":{""mean"":0.238581,""max"":0.240378,""min"":0.236329,""stddev"":0.001684,""max_change"":0.004049},""4Q"":{""mean"":0.264775,""max"":0.280996,""min"":0.245064,""stddev"":0.014875,""max_change"":0.035932}},""largest_q_by_year"":[""2Q"",""2Q"",""4Q""],""largest_q_share_by_year"":[0.273851,0.276979,0.280996],""second_largest_q_share_by_year"":[0.245064,0.268264,0.26895],""top_q_gap_by_year"":[0.028787,0.008715,0.012046],""largest_q_concentration_range"":0.007145,""mean_q_share_stddev"":0.008266,""max_q_share_change"":0.035932,""largest_q_mode_count"":2}","{""q_margin_stats"":{""1Q"":{""mean"":0.081014,""max"":0.10523,""min"":0.063965,""stddev"":0.017592,""max_change"":0.041265},""2Q"":{""mean"":0.097798,""max"":0.119978,""min"":0.069743,""stddev"":0.020925,""max_change"":0.050235},""3Q"":{""mean"":0.117322,""max"":0.132409,""min"":0.102719,""stddev"":0.012126,""max_change"":0.02969},""4Q"":{""mean"":0.089378,""max"":0.099711,""min"":0.081796,""stddev"":0.007568,""max_change"":0.017915}},""mean_q_margin_stddev"":0.014553,""max_q_margin_change"":0.050235,""max_operating_profit_q_by_year"":[""2Q"",""3Q"",""4Q""],""second_operating_profit_q_by_year"":[""3Q"",""4Q"",""2Q""],""top_operating_profit_gap_million_yen_by_year"":[8.0,10.0,1.0],""profit_sign_reversal_count"":0,""annual_operating_profit_by_year"":[730.0,572.0,718.0],""annual_op_negative_or_near_zero"":[false,false,false],""improving_loss_trend"":false}",v3_top_q_gap_and_margin_stability
4197,アスマーク,quarterly_history_15_jquants_asof_v2.csv,931bcac10965ddf89b69484179bc4299dbde0de4b64736d641ab0b5b60439d22,2,2024-11-30;2025-11-30,limited_history,limited_history,limited_history,limited_history,insufficient,insufficient,limited_history,"{""reason"":""fewer_than_three_complete_years""}","{""reason"":""fewer_than_three_complete_years""}",v3_top_q_gap_and_margin_stability
9238,バリュークリエーション,quarterly_history_15_jquants_asof_v2.csv,931bcac10965ddf89b69484179bc4299dbde0de4b64736d641ab0b5b60439d22,2,2025-02-28;2026-02-28,limited_history,limited_history,limited_history,limited_history,insufficient,insufficient,limited_history,"{""reason"":""fewer_than_three_complete_years""}","{""reason"":""fewer_than_three_complete_years""}",v3_top_q_gap_and_margin_stability
