exchange,ticker,company,planned_source,official_source,source_fields_verified,parser_status,normalized_output,db_write,viewer_check,reason
Nagoya,6623,愛知電機,regional_nagoya,https://www.nse.or.jp/market/condition/report/,date|ticker|company|OHLC|volume;turnover_definition_pending,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,automated collection/storage/redistribution not affirmatively permitted
Nagoya,1738,NITTOH,regional_nagoya,https://www.nse.or.jp/market/condition/report/,date|ticker|company|OHLC|volume;turnover_definition_pending,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,automated collection/storage/redistribution not affirmatively permitted
Nagoya,2902,太陽化学,regional_nagoya,https://www.nse.or.jp/market/condition/report/,date|ticker|company|OHLC|volume;turnover_definition_pending,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,automated collection/storage/redistribution not affirmatively permitted
Nagoya,5342,ジャニス工業,regional_nagoya,https://www.nse.or.jp/market/condition/report/,date|ticker|company|OHLC|volume;turnover_definition_pending,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,automated collection/storage/redistribution not affirmatively permitted
Nagoya,7485,岡谷鋼機,regional_nagoya,https://www.nse.or.jp/market/condition/report/,date|ticker|company|OHLC|volume;turnover_definition_pending,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,automated collection/storage/redistribution not affirmatively permitted
Sapporo,1832,北海電気工事,regional_sapporo,https://www.sse.or.jp/market/daily,date|ticker|company|OHLC|volume|turnover,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,PDF copyright stated; automation/storage/redistribution grant not found
Sapporo,2218,日糧製パン,regional_sapporo,https://www.sse.or.jp/market/daily,date|ticker|company|OHLC|volume|turnover,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,PDF copyright stated; automation/storage/redistribution grant not found
Sapporo,9027,ロジネットジャパン,regional_sapporo,https://www.sse.or.jp/market/daily,date|ticker|company|OHLC|volume|turnover,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,PDF copyright stated; automation/storage/redistribution grant not found
Sapporo,9085,北海道中央バス,regional_sapporo,https://www.sse.or.jp/market/daily,date|ticker|company|OHLC|volume|turnover,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,PDF copyright stated; automation/storage/redistribution grant not found
Sapporo,1449,FUJIジャパン,regional_sapporo,https://www.sse.or.jp/market/daily,date|ticker|company|OHLC|volume|turnover,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,PDF copyright stated; automation/storage/redistribution grant not found
Fukuoka,1771,日本乾溜工業,regional_fukuoka,https://www.fse.or.jp/market/daily.php,date|ticker|company|OHLC|volume|turnover,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,automation/storage/redistribution grant not found
Fukuoka,2058,ヒマラヤ,regional_fukuoka,https://www.fse.or.jp/market/daily.php,date|ticker|company|OHLC|volume|turnover,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,automation/storage/redistribution grant not found
Fukuoka,2919,マルタイ,regional_fukuoka,https://www.fse.or.jp/market/daily.php,date|ticker|company|OHLC|volume|turnover,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,automation/storage/redistribution grant not found
Fukuoka,1999,サイタホールディングス,regional_fukuoka,https://www.fse.or.jp/market/daily.php,date|ticker|company|OHLC|volume|turnover,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,automation/storage/redistribution grant not found
Fukuoka,4995,サンケイ化学,regional_fukuoka,https://www.fse.or.jp/market/daily.php,date|ticker|company|OHLC|volume|turnover,NOT_RUN_LICENSE_REVIEW,,0,NOT_RUN,automation/storage/redistribution grant not found
