"Name","Path","State","Execute","Arg","WorkDir","Trigger"
"Adobe Acrobat Update Task","\","Ready","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\AdobeARM.exe","","","MSFT_TaskLogonTrigger:2013-08-01T12:05:00;MSFT_TaskDailyTrigger:2013-01-01T11:00:00"
"BlueStacksHelper_nxt","\","Ready","C:\Program Files\BlueStacks_nxt\BlueStacksHelper.exe","-sr","","MSFT_TaskTimeTrigger:2024-12-08T16:55:35+09:00"
"CLToast","\","Ready","""C:\Program Files (x86)\CyberLink\Shared files\CLToast.exe""","-UpdateSchedule","","MSFT_TaskDailyTrigger:2024-08-28T09:28:00"
"CLToastRun","\","Ready","""C:\Program Files (x86)\CyberLink\Shared files\CLToast.exe""","-UpdateScheduleRun","","MSFT_TaskLogonTrigger:2024-08-28T09:28:00"
"EDINET_LargeHolder_Watch","\","Disabled","C:\Users\takuy\OneDrive\tdnet-excel-input\run_edinet_holder_watch.bat","","","MSFT_TaskDailyTrigger:2026-03-19T08:00:00+09:00"
"EDINET_Shareholder_Watch","\","Disabled","C:\Users\takuy\OneDrive\tdnet-excel-input\run_edinet_shareholder_watch.bat","","C:\Users\takuy\OneDrive\tdnet-excel-input","MSFT_TaskDailyTrigger:2026-03-19T08:07:00+09:00"
"OneDrive Per-Machine Standalone Update Task","\","Ready","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe","","","MSFT_TaskTimeTrigger:1992-05-01T22:00:00"
"OneDrive Reporting Task-S-1-5-21-2420480317-912072061-2085329558-1001","\","Ready","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe","/reporting","","MSFT_TaskTimeTrigger:2026-04-24T23:42:18"
"OneDrive Startup Task-S-1-5-21-2420480317-912072061-2085329558-1001","\","Ready","C:\Program Files\Microsoft OneDrive\26.063.0405.0002\OneDriveLauncher.exe","/startInstances","","MSFT_TaskLogonTrigger:"
"PowerDirectorStyleAgent","\","Running","C:\Program Files (x86)\CyberLink\Shared files\PDStyleAgent\PDStyleAgent.exe","","","MSFT_TaskLogonTrigger:"
"TDNet Pipeline - Healthcheck","\","Disabled","C:\Windows\System32\cmd.exe","/c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_healthcheck.bat""","C:\Users\takuy\OneDrive\tdnet-excel-input","MSFT_TaskTimeTrigger:2026-03-23T13:30:00+09:00"
"TDNet Pipeline - Ingest","\","Disabled","cmd.exe","/c C:\Users\takuy\OneDrive\tdnet-excel-input\run_ingest.bat","C:\Users\takuy\OneDrive\tdnet-excel-input","MSFT_TaskTimeTrigger:2026-03-12T08:00:00"
"TDNet Pipeline - Notify","\","Disabled","C:\Windows\System32\cmd.exe","/c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_notify.bat""","C:\Users\takuy\OneDrive\tdnet-excel-input","MSFT_TaskDailyTrigger:2026-03-12T08:06:00+09:00"
"TDNet Pipeline - Process","\","Disabled","C:\Windows\System32\cmd.exe","/c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_process.bat""","C:\Users\takuy\OneDrive\tdnet-excel-input","MSFT_TaskDailyTrigger:2026-03-12T08:05:00"
"TDNet Pipeline - Rebuild","\","Disabled","C:\Windows\System32\cmd.exe","/c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_rebuild.bat""","C:\Users\takuy\OneDrive\tdnet-excel-input","MSFT_TaskDailyTrigger:2026-03-12T08:04:00+09:00"
"TDNet Pipeline - Reconcile","\","Disabled","C:\Windows\System32\cmd.exe","/c ""C:\Users\takuy\OneDrive\tdnet-excel-input\run_reconcile.bat""","C:\Users\takuy\OneDrive\tdnet-excel-input","MSFT_TaskDailyTrigger:2026-03-11T02:00:00+09:00"
