source_path,ticker,company_name,title,old_prev_eps,old_new_eps,new_prev_eps,new_new_eps,expected_prev_eps,expected_new_eps,diff_status,failure_category,error,old_status,new_status
140120260204547040.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260204547727.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,数値抽出失敗,,,
140120260206549927.pdf,,,通期連結業績予想の修正及び通期個別業績見込みと前期実績との差異に関するお知らせ,,,136.04,3.0,136.04,156.78,new_only_detected,,,both_missing,partial_match
140120260213561316.pdf,,,業績予想の修正に関するお知らせ,3.0,3.0,3.0,3.0,,,both_detected_same,,,,
140120260213562293.pdf,,,業績予想の修正に関するお知らせ,,,,1.0,,,new_only_detected,縦ブロック失敗,,,
140120260217563586.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,ラベル未検出,,,
140120260217563949.pdf,,,通期業績予想の修正および期末配当予想の修正（増配）に関するお知らせ,,,,,79.38,85.68,both_missing,数値抽出失敗,,both_missing,both_missing
140120260217563972.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260218564170.pdf,,,投資有価証券売却益（特別利益）の計上および業績予想の修正に関するお知らせ,,,,,86.72,143.64,both_missing,数値抽出失敗,,both_missing,both_missing
140120260218564639.pdf,,,通期連結業績予想及び期末配当予想の修正に関するお知らせ,,,,40.0,,,new_only_detected,数値抽出失敗,,,
140120260219565026.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260220565976.pdf,,,業績予想の修正に関するお知らせ,3.0,3.0,3.0,3.0,,,both_detected_same,,,,
140120260220566014.pdf,,,業績予想及び配当予想の修正（増配）に関するお知らせ,,50.0,,50.0,,,both_detected_same,数値抽出失敗,,,
140120260220566605.pdf,,,業績予想の修正に関するお知らせ,,,,,5.0,3.25,both_missing,数値抽出失敗,,both_missing,both_missing
140120260220566887.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,ラベル未検出,,,
140120260222566954.pdf,,,2026年12月期（第27期）の運用状況の予想の修正に関するお知らせ,,5.0,,5.0,,,both_detected_same,ラベル未検出,,,
140120260222566956.pdf,,,業績予想の修正に関するお知らせ,12.0,,12.0,,,,both_detected_same,ラベル未検出,,,
140120260223566990.pdf,,,（開示事項の経過）特別損失の計上及び業績予想の修正に関するお知らせ,,,,,,-35.17,both_missing,数値抽出失敗,,both_missing,both_missing
140120260223566997.pdf,,,業績予想の修正に関するお知らせ,,,1.0,7.7,,,new_only_detected,,,,
140120260224567066.pdf,,,業績予想及び配当予想の修正に関するお知らせ,,,,,,80.41,both_missing,数値抽出失敗,,both_missing,both_missing
140120260224567269.pdf,,,業績予想の修正および配当予想の修正（増配）に関するお知らせ,,,,,348.52,319.48,both_missing,数値抽出失敗,,both_missing,both_missing
140120260224567311.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,ラベル未検出,,,
140120260224567377.pdf,,,業績予想の修正に関するお知らせ,,,1.0,0.1,,,new_only_detected,,,,
140120260224567413.pdf,,,通期連結業績予想の修正に関するお知らせ,,,,,47.15,54.66,both_missing,数値抽出失敗,,both_missing,both_missing
140120260224567426.pdf,,,業績予想（連結）の修正及び配当予想の修正（増配）に関するお知らせ,,,,,270.2,324.23,both_missing,数値抽出失敗,,both_missing,both_missing
140120260224567628.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260224567998.pdf,,,2026 年３月期 通期連結業績予想の修正に関するお知らせ,,,,,79.28,103.2,both_missing,数値抽出失敗,,both_missing,both_missing
140120260225568225.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,ラベル未検出,,,
140120260225568356.pdf,,,通期連結業績予想の修正、配当方針及び配当予想の修正（初配）に関するお知らせ,,64.82,,64.82,,,both_detected_same,ラベル未検出,,,
140120260225568394.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
140120260225568450.pdf,,,業績予想の修正に関するお知らせ,,,1.0,2.3,,,new_only_detected,,,,
140120260225568514.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,ラベル未検出,,,
140120260225568550.pdf,,,業績予想の修正に関するお知らせ,3.0,3.0,3.0,3.0,,,both_detected_same,,,,
140120260225568643.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,ラベル未検出,,,
140120260225568644.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,ラベル未検出,,,
140120260225568757.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,数値抽出失敗,,,
140120260225568936.pdf,,,業績予想の修正に関するお知らせ,,,,,,,both_missing,縦ブロック失敗,,,
