source_path,title,old_prev_eps,old_new_eps,new_prev_eps,new_new_eps,diff_status,failure_category,expected_prev_eps,expected_new_eps
140120260206549927.pdf,通期連結業績予想の修正及び通期個別業績見込みと前期実績との差異に関するお知らせ,,,136.04,3.0,new_only_detected,,,
140120260213562293.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260218564639.pdf,通期連結業績予想及び期末配当予想の修正に関するお知らせ,,,,40.0,new_only_detected,数値抽出失敗,,
140120260223566997.pdf,業績予想の修正に関するお知らせ,,,1.0,7.7,new_only_detected,,,
140120260224567377.pdf,業績予想の修正に関するお知らせ,,,1.0,0.1,new_only_detected,,,
140120260225568394.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260225568450.pdf,業績予想の修正に関するお知らせ,,,1.0,2.3,new_only_detected,,,
140120260225569178.pdf,業績予想の修正に関するお知らせ,,,1.0,902.07,new_only_detected,,,
140120260226569824.pdf,業績予想の修正に関するお知らせ,,,,2.0,new_only_detected,縦ブロック失敗,,
140120260227571645.pdf,業績予想の修正に関するお知らせ,,,1.0,1.7,new_only_detected,,,
140120260303574105.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260303574359.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260304575305.pdf,業績予想の修正に関するお知らせ,,,1.0,1.7,new_only_detected,,,
140120260304575655.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260304575759.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260304576008.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260304576030.pdf,業績予想の修正に関するお知らせ,,,1.0,15.1,new_only_detected,,,
140120260304576061.pdf,業績予想の修正に関するお知らせ,,,1.0,8.1,new_only_detected,,,
140120260305576562.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260305576596.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260305576670.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260305576840.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260305576912.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260305577046.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260306577313.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260306577334.pdf,業績予想の修正に関するお知らせ,,,1.0,18.4,new_only_detected,,,
140120260306577666.pdf,業績予想の修正に関するお知らせ,,,1.0,-1.0,new_only_detected,,,
140120260306577673.pdf,業績予想の修正に関するお知らせ,,,,202.0,new_only_detected,縦ブロック失敗,,
140120260306577734.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260306577795.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260309578005.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260309578330.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260309578531.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260310578680.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260310578801.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260310578805.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260310578808.pdf,業績予想の修正に関するお知らせ,,,,-20.01,new_only_detected,縦ブロック失敗,,
140120260310578871.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260310578917.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260310578923.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260310579106.pdf,業績予想の修正に関するお知らせ,,,,1.0,new_only_detected,縦ブロック失敗,,
140120260310579159.pdf,業績予想の修正に関するお知らせ,,,1.0,9.8,new_only_detected,,,
140120260204547040.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,縦ブロック失敗,,
140120260204547727.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,数値抽出失敗,,
140120260217563586.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,ラベル未検出,,
140120260217563949.pdf,通期業績予想の修正および期末配当予想の修正（増配）に関するお知らせ,,,,,both_missing,数値抽出失敗,,
140120260217563972.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,縦ブロック失敗,,
140120260218564170.pdf,投資有価証券売却益（特別利益）の計上および業績予想の修正に関するお知らせ,,,,,both_missing,数値抽出失敗,,
140120260219565026.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,縦ブロック失敗,,
140120260220566605.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,数値抽出失敗,,
140120260220566887.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,ラベル未検出,,
140120260223566990.pdf,（開示事項の経過）特別損失の計上及び業績予想の修正に関するお知らせ,,,,,both_missing,数値抽出失敗,,
140120260224567066.pdf,業績予想及び配当予想の修正に関するお知らせ,,,,,both_missing,数値抽出失敗,,
140120260224567269.pdf,業績予想の修正および配当予想の修正（増配）に関するお知らせ,,,,,both_missing,数値抽出失敗,,
140120260224567311.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,ラベル未検出,,
140120260224567413.pdf,通期連結業績予想の修正に関するお知らせ,,,,,both_missing,数値抽出失敗,,
140120260224567426.pdf,業績予想（連結）の修正及び配当予想の修正（増配）に関するお知らせ,,,,,both_missing,数値抽出失敗,,
140120260224567628.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,縦ブロック失敗,,
140120260224567998.pdf,2026 年３月期 通期連結業績予想の修正に関するお知らせ,,,,,both_missing,数値抽出失敗,,
140120260225568225.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,ラベル未検出,,
140120260225568514.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,ラベル未検出,,
140120260225568643.pdf,業績予想の修正に関するお知らせ,,,,,both_missing,ラベル未検出,,
